"","lambda","type","precision","recall"
"1",0.3,"PC corrected",0.195546765343882,0.00450099859022556
"2",0.314285714285714,"PC corrected",0.204965778360274,0.00413386983082707
"3",0.328571428571429,"PC corrected",0.216006600660066,0.00384457236842105
"4",0.342857142857143,"PC corrected",0.224656516895655,0.00355380639097744
"5",0.357142857142857,"PC corrected",0.231531719532554,0.00325863486842105
"6",0.371428571428571,"PC corrected",0.239431699080005,0.00301926691729323
"7",0.385714285714286,"PC corrected",0.249119143938405,0.00280339520676692
"8",0.4,"PC corrected",0.258625688605393,0.00261983082706767
"9",0.414285714285714,"PC corrected",0.268300548210255,0.00244360902255639
"10",0.428571428571429,"PC corrected",0.275497400967915,0.00225710761278195
"11",0.442857142857143,"PC corrected",0.284525460669705,0.00210878759398496
"12",0.457142857142857,"PC corrected",0.294143549097314,0.00196193609022556
"13",0.471428571428571,"PC corrected",0.300511820619059,0.00181067904135338
"14",0.485714285714286,"PC corrected",0.306723814626306,0.00168144971804511
"15",0.5,"PC corrected",0.314487632508834,0.00156837406015038
"16",0.514285714285714,"PC corrected",0.321880064829822,0.00145823543233083
"17",0.528571428571429,"PC corrected",0.325214899713467,0.00133341165413534
"18",0.542857142857143,"PC corrected",0.329644268774704,0.00122474154135338
"19",0.557142857142857,"PC corrected",0.338730853391685,0.00113663063909774
"20",0.571428571428571,"PC corrected",0.339834227206241,0.00102355498120301
"21",0.585714285714286,"PC corrected",0.346615720524017,0.00093250704887218
"22",0.6,"PC corrected",0.350909090909091,0.000850270206766917
"23",0.614285714285714,"PC corrected",0.361148197596796,0.000794466635338346
"24",0.628571428571429,"PC corrected",0.371323529411765,0.000741600093984962
"25",0.642857142857143,"PC corrected",0.383116883116883,0.000693139097744361
"26",0.657142857142857,"PC corrected",0.386281588447653,0.000628524436090226
"27",0.671428571428571,"PC corrected",0.391523713420787,0.000569783834586466
"28",0.685714285714286,"PC corrected",0.396703296703297,0.000530133928571429
"29",0.7,"PC corrected",0.406593406593407,0.000489015507518797
"30",0.714285714285714,"PC corrected",0.413422818791946,0.000452302631578947
"31",0.728571428571429,"PC corrected",0.425816023738872,0.000421463815789474
"32",0.742857142857143,"PC corrected",0.432387312186978,0.000380345394736842
"33",0.757142857142857,"PC corrected",0.444444444444444,0.00034656954887218
"34",0.771428571428571,"PC corrected",0.459016393442623,0.000328947368421053
"35",0.785714285714286,"PC corrected",0.481981981981982,0.000314262218045113
"36",0.8,"PC corrected",0.507575757575758,0.000295171522556391
"37",0.814285714285714,"PC corrected",0.52924791086351,0.000279017857142857
"38",0.828571428571429,"PC corrected",0.547692307692308,0.000261395676691729
"39",0.842857142857143,"PC corrected",0.547945205479452,0.000234962406015038
"40",0.857142857142857,"PC corrected",0.568181818181818,0.000220277255639098
"41",0.871428571428571,"PC corrected",0.593073593073593,0.000201186560150376
"42",0.885714285714286,"PC corrected",0.611650485436893,0.000185032894736842
"43",0.9,"PC corrected",0.597701149425287,0.000152725563909774
"44",0.914285714285714,"PC corrected",0.594202898550725,0.000120418233082707
"45",0.928571428571429,"PC corrected",0.632075471698113,9.8390507518797e-05
"46",0.942857142857143,"PC corrected",0.67741935483871,6.16776315789474e-05
"47",0.957142857142857,"PC corrected",0.625,2.20277255639098e-05
"48",0.971428571428571,"PC corrected",0.142857142857143,1.46851503759399e-06
"49",0.985714285714286,"PC corrected",NA,0
"50",1,"PC corrected",NA,0
"51",0.3,"half-PC",0.149060848637053,0.00836759868421053
"52",0.314285714285714,"half-PC",0.15537214016797,0.00787858317669173
"53",0.328571428571429,"half-PC",0.16209188095926,0.00741453242481203
"54",0.342857142857143,"half-PC",0.169640018370014,0.00705180921052632
"55",0.357142857142857,"half-PC",0.175364124931848,0.00661272321428571
"56",0.371428571428571,"half-PC",0.181350017024174,0.00625734257518797
"57",0.385714285714286,"half-PC",0.187201572886434,0.00587259163533835
"58",0.4,"half-PC",0.192684051437061,0.00552308505639098
"59",0.414285714285714,"half-PC",0.198284080076263,0.00519266917293233
"60",0.428571428571429,"half-PC",0.204062845219099,0.0048828125
"61",0.442857142857143,"half-PC",0.21027817067421,0.00458470394736842
"62",0.457142857142857,"half-PC",0.216300475059382,0.00427925281954887
"63",0.471428571428571,"half-PC",0.220621931260229,0.00395911654135338
"64",0.485714285714286,"half-PC",0.226962457337884,0.0037109375
"65",0.5,"half-PC",0.231565457413249,0.00344954182330827
"66",0.514285714285714,"half-PC",0.234409071085914,0.00315730733082707
"67",0.528571428571429,"half-PC",0.239180229053647,0.00291353383458647
"68",0.542857142857143,"half-PC",0.241998125083702,0.00265360667293233
"69",0.557142857142857,"half-PC",0.2444279346211,0.00241570723684211
