"","lambda","type","precision","recall"
"1",0.3,"PC corrected",0.179476930105071,0.00461554276315789
"2",0.314285714285714,"PC corrected",0.189137964838899,0.00424988251879699
"3",0.328571428571429,"PC corrected",0.196210495152098,0.00389303336466165
"4",0.342857142857143,"PC corrected",0.204061251664447,0.00360079887218045
"5",0.357142857142857,"PC corrected",0.212239221140473,0.00336143092105263
"6",0.371428571428571,"PC corrected",0.221764645320704,0.00316318139097744
"7",0.385714285714286,"PC corrected",0.229547259729944,0.00297080592105263
"8",0.4,"PC corrected",0.236349943517008,0.00276521381578947
"9",0.414285714285714,"PC corrected",0.244318181818182,0.0025889920112782
"10",0.428571428571429,"PC corrected",0.249848300970874,0.00241864426691729
"11",0.442857142857143,"PC corrected",0.254336224149433,0.00223948543233083
"12",0.457142857142857,"PC corrected",0.262648401826484,0.00211172462406015
"13",0.471428571428571,"PC corrected",0.268701376421305,0.0019780897556391
"14",0.485714285714286,"PC corrected",0.27076048951049,0.00181949013157895
"15",0.5,"PC corrected",0.27705112960761,0.00171082001879699
"16",0.514285714285714,"PC corrected",0.285489372868014,0.00159774436090226
"17",0.528571428571429,"PC corrected",0.290067720090293,0.00150963345864662
"18",0.542857142857143,"PC corrected",0.293267752843529,0.00140096334586466
"19",0.557142857142857,"PC corrected",0.29585997980478,0.00129082471804511
"20",0.571428571428571,"PC corrected",0.297327394209354,0.00117628054511278
"21",0.585714285714286,"PC corrected",0.302040816326531,0.00108670112781955
"22",0.6,"PC corrected",0.308243727598566,0.00101033834586466
"23",0.614285714285714,"PC corrected",0.315684315684316,0.000928101503759399
"24",0.628571428571429,"PC corrected",0.319490586932447,0.000847333176691729
"25",0.642857142857143,"PC corrected",0.32140653917335,0.000765096334586466
"26",0.657142857142857,"PC corrected",0.320610687022901,0.000678453947368421
"27",0.671428571428571,"PC corrected",0.32012432012432,0.000605028195488722
"28",0.685714285714286,"PC corrected",0.320603907637655,0.000530133928571429
"29",0.7,"PC corrected",0.323676323676324,0.000475798872180451
"30",0.714285714285714,"PC corrected",0.326966292134831,0.00042733787593985
"31",0.728571428571429,"PC corrected",0.335451080050826,0.000387687969924812
"32",0.742857142857143,"PC corrected",0.355907780979827,0.000362723214285714
"33",0.757142857142857,"PC corrected",0.361563517915309,0.000326010338345865
"34",0.771428571428571,"PC corrected",0.368896925858951,0.000299577067669173
"35",0.785714285714286,"PC corrected",0.380281690140845,0.000277549342105263
"36",0.8,"PC corrected",0.403189066059225,0.000259927161654135
"37",0.814285714285714,"PC corrected",0.430051813471503,0.000243773496240602
"38",0.828571428571429,"PC corrected",0.43491124260355,0.000215871710526316
"39",0.842857142857143,"PC corrected",0.440129449838188,0.000199718045112782
"40",0.857142857142857,"PC corrected",0.452898550724638,0.000183564379699248
"41",0.871428571428571,"PC corrected",0.472573839662447,0.000164473684210526
"42",0.885714285714286,"PC corrected",0.485294117647059,0.000145382988721805
"43",0.9,"PC corrected",0.505747126436782,0.000129229323308271
"44",0.914285714285714,"PC corrected",0.5,0.000101327537593985
"45",0.928571428571429,"PC corrected",0.495238095238095,7.63627819548872e-05
"46",0.942857142857143,"PC corrected",0.518072289156627,6.31461466165414e-05
"47",0.957142857142857,"PC corrected",0.553191489361702,3.81813909774436e-05
"48",0.971428571428571,"PC corrected",NA,0
"49",0.985714285714286,"PC corrected",NA,0
"50",1,"PC corrected",NA,0
"51",0.3,"half-PC",0.13422869336011,0.00785214990601504
"52",0.314285714285714,"half-PC",0.140568431255167,0.00724124765037594
"53",0.328571428571429,"half-PC",0.147716322990942,0.00675370065789474
"54",0.342857142857143,"half-PC",0.154953459845588,0.00630727208646617
"55",0.357142857142857,"half-PC",0.160907995178787,0.00588140272556391
"56",0.371428571428571,"half-PC",0.165386333184457,0.00543791118421053
"57",0.385714285714286,"half-PC",0.172086387563339,0.00513686560150376
"58",0.4,"half-PC",0.177628368486689,0.00481085526315789
"59",0.414285714285714,"half-PC",0.181532253278737,0.0044921875
"60",0.428571428571429,"half-PC",0.186222164344316,0.0041999530075188
"61",0.442857142857143,"half-PC",0.192463850701617,0.00396792763157895
"62",0.457142857142857,"half-PC",0.197918297073094,0.00371387453007519
"63",0.471428571428571,"half-PC",0.204999146903259,0.00352884163533835
"64",0.485714285714286,"half-PC",0.210100446428571,0.00331737546992481
"65",0.5,"half-PC",0.217528181171931,0.00314555921052632
"66",0.514285714285714,"half-PC",0.22478386167147,0.0029781484962406
"67",0.528571428571429,"half-PC",0.229731372310684,0.00277549342105263
"68",0.542857142857143,"half-PC",0.235567970204842,0.00260074013157895
"69",0.557142857142857,"half-PC",0.240302193810838,0.00242892387218045
"70",0.571428571428571,"half-PC",0.244274809160305,0.00225563909774436
"71",0.585714285714286,"half-PC",0.250615114235501,0.00209410244360902
"72",0.6,"half-PC",0.259727626459144,0.00196046757518797
"73",0.614285714285714,"half-PC",0.267810599478714,0.00181067904135338
"74",0.628571428571429,"half-PC",0.277372262773723,0.00167410714285714
"75",0.642857142857143,"half-PC",0.280792186652198,0.00151991306390977
"76",0.657142857142857,"half-PC",0.286897821417613,0.00137306156015038
"77",0.671428571428571,"half-PC",0.291450328833506,0.00123648966165414
"78",0.685714285714286,"half-PC",0.295774647887324,0.00111019736842105
"79",0.7,"half-PC",0.302439024390244,0.0010015272556391
"80",0.714285714285714,"half-PC",0.305231081767395,0.000882577537593985
"81",0.728571428571429,"half-PC",0.314087759815243,0.000798872180451128
"82",0.742857142857143,"half-PC",0.323353293413174,0.000713698308270677
"83",0.757142857142857,"half-PC",0.319938176197836,0.00060796522556391
"84",0.771428571428571,"half-PC",0.325411334552102,0.000522791353383459
"85",0.785714285714286,"half-PC",0.329268292682927,0.000436148966165414
"86",0.8,"half-PC",0.341961852861035,0.00036859727443609
"87",0.814285714285714,"half-PC",0.357504215851602,0.000311325187969925
"88",0.828571428571429,"half-PC",0.385281385281385,0.000261395676691729
"89",0.842857142857143,"half-PC",0.399477806788512,0.00022468280075188
"90",0.857142857142857,"half-PC",0.438095238095238,0.00020265507518797
"91",0.871428571428571,"half-PC",0.469230769230769,0.000179158834586466
"92",0.885714285714286,"half-PC",0.467592592592593,0.000148320018796992
"93",0.9,"half-PC",0.51685393258427,0.000135103383458647
"94",0.914285714285714,"half-PC",0.524475524475524,0.000110138627819549
"95",0.928571428571429,"half-PC",0.509615384615385,7.78312969924812e-05
"96",0.942857142857143,"half-PC",0.63768115942029,6.46146616541353e-05
"97",0.957142857142857,"half-PC",0.6,3.96499060150376e-05
"98",0.971428571428571,"half-PC",NA,0
"99",0.985714285714286,"half-PC",NA,0
"100",1,"half-PC",NA,0
"101",0.3,"quarter-PC",0.109282016719962,0.0111915531015038
"102",0.314285714285714,"quarter-PC",0.113125340387458,0.0106761043233083
"103",0.328571428571429,"quarter-PC",0.117829928869515,0.0102414238721805
"104",0.342857142857143,"quarter-PC",0.122835339007925,0.00983317669172932
"105",0.357142857142857,"quarter-PC",0.127584760154237,0.00937793703007519
"106",0.371428571428571,"quarter-PC",0.132520960945306,0.0089594102443609
"107",0.385714285714286,"quarter-PC",0.138456065457133,0.00857319078947368
