"","lambda","type","precision","recall"
"1",0.3,"PC corrected",0.220467125691913,0.00239808505639098
"2",0.314285714285714,"PC corrected",0.231678854831181,0.00218661889097744
"3",0.328571428571429,"PC corrected",0.242257030971876,0.00199864896616541
"4",0.342857142857143,"PC corrected",0.252760489861474,0.00184886043233083
"5",0.357142857142857,"PC corrected",0.261378999549347,0.00170347744360902
"6",0.371428571428571,"PC corrected",0.271186440677966,0.00157424812030075
"7",0.385714285714286,"PC corrected",0.283195905601365,0.00146264097744361
"8",0.4,"PC corrected",0.29478672985782,0.00137012453007519
"9",0.414285714285714,"PC corrected",0.305149617258177,0.00128788768796992
"10",0.428571428571429,"PC corrected",0.310463779225757,0.00118949718045113
"11",0.442857142857143,"PC corrected",0.313002964845404,0.00108523261278195
"12",0.457142857142857,"PC corrected",0.318012999071495,0.00100593280075188
"13",0.471428571428571,"PC corrected",0.323529411764706,0.000936912593984962
"14",0.485714285714286,"PC corrected",0.331500824628917,0.000885514567669173
"15",0.5,"PC corrected",0.34047619047619,0.000839990601503759
"16",0.514285714285714,"PC corrected",0.347204161248374,0.000784187030075188
"17",0.528571428571429,"PC corrected",0.362676056338028,0.000756285244360902
"18",0.542857142857143,"PC corrected",0.36969696969697,0.000716635338345865
"19",0.557142857142857,"PC corrected",0.375601926163724,0.000687265037593985
"20",0.571428571428571,"PC corrected",0.385146804835924,0.000654957706766917
"21",0.585714285714286,"PC corrected",0.390084190832554,0.000612370770676692
"22",0.6,"PC corrected",0.404102564102564,0.00057859492481203
"23",0.614285714285714,"PC corrected",0.410456062291435,0.00054188204887218
"24",0.628571428571429,"PC corrected",0.413587604290822,0.000509574718045113
"25",0.642857142857143,"PC corrected",0.421875,0.000475798872180451
"26",0.657142857142857,"PC corrected",0.434042553191489,0.000449365601503759
"27",0.671428571428571,"PC corrected",0.441616766467066,0.000433211936090226
"28",0.685714285714286,"PC corrected",0.444444444444444,0.000417058270676692
"29",0.7,"PC corrected",0.456953642384106,0.00040531015037594
"30",0.714285714285714,"PC corrected",0.474060822898032,0.000389156484962406
"31",0.728571428571429,"PC corrected",0.490384615384615,0.000374471334586466
"32",0.742857142857143,"PC corrected",0.490683229813665,0.000348038063909774
"33",0.757142857142857,"PC corrected",0.497826086956522,0.000336289943609023
"34",0.771428571428571,"PC corrected",0.488479262672811,0.000311325187969925
"35",0.785714285714286,"PC corrected",0.496277915632754,0.000293703007518797
"36",0.8,"PC corrected",0.506738544474393,0.000276080827067669
"37",0.814285714285714,"PC corrected",0.530259365994236,0.000270206766917293
"38",0.828571428571429,"PC corrected",0.522151898734177,0.000242304981203008
"39",0.842857142857143,"PC corrected",0.520134228187919,0.000227619830827068
"40",0.857142857142857,"PC corrected",0.545112781954887,0.000212934680451128
"41",0.871428571428571,"PC corrected",0.548523206751055,0.000190906954887218
"42",0.885714285714286,"PC corrected",0.551724137931034,0.000164473684210526
"43",0.9,"PC corrected",0.557575757575758,0.000135103383458647
"44",0.914285714285714,"PC corrected",0.540983606557377,9.6921992481203e-05
"45",0.928571428571429,"PC corrected",0.482758620689655,6.16776315789474e-05
"46",0.942857142857143,"PC corrected",0.372881355932203,3.23073308270677e-05
"47",0.957142857142857,"PC corrected",0.392857142857143,1.61536654135338e-05
"48",0.971428571428571,"PC corrected",0.333333333333333,1.46851503759399e-06
"49",0.985714285714286,"PC corrected",NA,0
"50",1,"PC corrected",NA,0
"51",0.3,"half-PC",0.156203172634734,0.00443932095864662
"52",0.314285714285714,"half-PC",0.161343450385271,0.0040281367481203
"53",0.328571428571429,"half-PC",0.167287977632805,0.00369037828947368
"54",0.342857142857143,"half-PC",0.173484734546548,0.00338786419172932
"55",0.357142857142857,"half-PC",0.178062557963072,0.0031015037593985
"56",0.371428571428571,"half-PC",0.181723583388516,0.00282101738721805
"57",0.385714285714286,"half-PC",0.185547290116897,0.0025640272556391
"58",0.4,"half-PC",0.18756686081065,0.00231731672932331
"59",0.414285714285714,"half-PC",0.193295197552215,0.00213375234962406
"60",0.428571428571429,"half-PC",0.195706513747978,0.00195459351503759
"61",0.442857142857143,"half-PC",0.200809061488673,0.00182242716165414
"62",0.457142857142857,"half-PC",0.205454871702853,0.00168144971804511
"63",0.471428571428571,"half-PC",0.210642570281124,0.00154047227443609
"64",0.485714285714286,"half-PC",0.212875729026469,0.00139362077067669
"65",0.5,"half-PC",0.215729783037475,0.00128495065789474
"66",0.514285714285714,"half-PC",0.218375136314068,0.00117628054511278
"67",0.528571428571429,"half-PC",0.224251497005988,0.00109991776315789
"68",0.542857142857143,"half-PC",0.228514981890023,0.00101914943609023
"69",0.557142857142857,"half-PC",0.232792792792793,0.000948660714285714
"70",0.571428571428571,"half-PC",0.240521327014218,0.000894325657894737
"71",0.585714285714286,"half-PC",0.246804759806082,0.000822368421052632
"72",0.6,"half-PC",0.251329144514258,0.000763627819548872
"73",0.614285714285714,"half-PC",0.258666666666667,0.000712229793233083
"74",0.628571428571429,"half-PC",0.263774912075029,0.000660831766917293
"75",0.642857142857143,"half-PC",0.27390180878553,0.00062265037593985
"76",0.657142857142857,"half-PC",0.289267945984364,0.000597685620300752
"77",0.671428571428571,"half-PC",0.294579732914376,0.000550693139097744
"78",0.685714285714286,"half-PC",0.298456260720412,0.000511043233082707
"79",0.7,"half-PC",0.313084112149533,0.000491952537593985
"80",0.714285714285714,"half-PC",0.326153846153846,0.000466987781954887
"81",0.728571428571429,"half-PC",0.346681922196796,0.000444960056390977
"82",0.742857142857143,"half-PC",0.36283185840708,0.000421463815789474
"83",0.757142857142857,"half-PC",0.379501385041551,0.000402373120300752
"84",0.771428571428571,"half-PC",0.382126348228043,0.000364191729323308
"85",0.785714285714286,"half-PC",0.396610169491525,0.000343632518796992
