"","lambda","type","precision","recall"
"1",0.3,"PC corrected",0.201168438093897,0.00419701597744361
"2",0.314285714285714,"PC corrected",0.210771704180064,0.00385044642857143
"3",0.328571428571429,"PC corrected",0.219147005444646,0.00354646381578947
"4",0.342857142857143,"PC corrected",0.227694503925767,0.00327919407894737
"5",0.357142857142857,"PC corrected",0.237665600730927,0.00305597979323308
"6",0.371428571428571,"PC corrected",0.246404725218285,0.00281808035714286
"7",0.385714285714286,"PC corrected",0.253988788270806,0.00259486607142857
"8",0.4,"PC corrected",0.259022676461195,0.00238193139097744
"9",0.414285714285714,"PC corrected",0.267815887684379,0.00221305216165414
"10",0.428571428571429,"PC corrected",0.271779744346116,0.00202948778195489
"11",0.442857142857143,"PC corrected",0.279685108244041,0.00187823073308271
"12",0.457142857142857,"PC corrected",0.286093674553356,0.00174019031954887
"13",0.471428571428571,"PC corrected",0.291074778879657,0.00159480733082707
"14",0.485714285714286,"PC corrected",0.295981226166031,0.00148173167293233
"15",0.5,"PC corrected",0.303196641911527,0.00137893562030075
"16",0.514285714285714,"PC corrected",0.306468716861082,0.00127320253759398
"17",0.528571428571429,"PC corrected",0.318851823118697,0.00120711936090226
"18",0.542857142857143,"PC corrected",0.325076053889613,0.0010984492481203
"19",0.557142857142857,"PC corrected",0.333172380492516,0.00101327537593985
"20",0.571428571428571,"PC corrected",0.347402597402597,0.000942786654135338
"21",0.585714285714286,"PC corrected",0.355033152501507,0.000864955357142857
"22",0.6,"PC corrected",0.364541832669323,0.000806214755639098
"23",0.614285714285714,"PC corrected",0.365853658536585,0.000726914943609023
"24",0.628571428571429,"PC corrected",0.373563218390805,0.000668174342105263
"25",0.642857142857143,"PC corrected",0.38615664845173,0.00062265037593985
"26",0.657142857142857,"PC corrected",0.394763343403827,0.000575657894736842
"27",0.671428571428571,"PC corrected",0.401345291479821,0.000525728383458647
"28",0.685714285714286,"PC corrected",0.400996264009963,0.000472861842105263
"29",0.7,"PC corrected",0.411522633744856,0.000440554511278195
"30",0.714285714285714,"PC corrected",0.423312883435583,0.00040531015037594
"31",0.728571428571429,"PC corrected",0.436426116838488,0.000373002819548872
"32",0.742857142857143,"PC corrected",0.441729323308271,0.000345101033834586
"33",0.757142857142857,"PC corrected",0.446280991735537,0.000317199248120301
"34",0.771428571428571,"PC corrected",0.449308755760369,0.000286360432330827
"35",0.785714285714286,"PC corrected",0.453400503778338,0.000264332706766917
"36",0.8,"PC corrected",0.452054794520548,0.000242304981203008
"37",0.814285714285714,"PC corrected",0.457317073170732,0.000220277255639098
"38",0.828571428571429,"PC corrected",0.462068965517241,0.000196781015037594
"39",0.842857142857143,"PC corrected",0.473484848484849,0.000183564379699248
"40",0.857142857142857,"PC corrected",0.487394957983193,0.000170347744360902
"41",0.871428571428571,"PC corrected",0.497652582159624,0.000155662593984962
"42",0.885714285714286,"PC corrected",0.515625,0.000145382988721805
"43",0.9,"PC corrected",0.529411764705882,0.000132166353383459
"44",0.914285714285714,"PC corrected",0.516778523489933,0.000113075657894737
"45",0.928571428571429,"PC corrected",0.520661157024793,9.25164473684211e-05
"46",0.942857142857143,"PC corrected",0.470588235294118,5.87406015037594e-05
"47",0.957142857142857,"PC corrected",0.645833333333333,4.55239661654135e-05
"48",0.971428571428571,"PC corrected",0.545454545454545,8.81109022556391e-06
"49",0.985714285714286,"PC corrected",NA,0
"50",1,"PC corrected",NA,0
"51",0.3,"half-PC",0.150591634562466,0.00642915883458647
"52",0.314285714285714,"half-PC",0.158538503893652,0.00591958411654135
"53",0.328571428571429,"half-PC",0.166103653658103,0.00548784069548872
"54",0.342857142857143,"half-PC",0.172097658196313,0.00507225093984962
"55",0.357142857142857,"half-PC",0.180074705915147,0.00474330357142857
"56",0.371428571428571,"half-PC",0.185283742805867,0.00439673402255639
"57",0.385714285714286,"half-PC",0.190685232183277,0.00408247180451128
"58",0.4,"half-PC",0.195558250587433,0.00378876879699248
"59",0.414285714285714,"half-PC",0.200317699189031,0.00351856203007519
"60",0.428571428571429,"half-PC",0.205078664090533,0.00327332001879699
"61",0.442857142857143,"half-PC",0.209401276466417,0.00303542058270677
"62",0.457142857142857,"half-PC",0.213456817674626,0.00280926926691729
"63",0.471428571428571,"half-PC",0.2171630859375,0.0026124882518797
"64",0.485714285714286,"half-PC",0.221357660316609,0.00242304981203008
"65",0.5,"half-PC",0.227589272484813,0.00225563909774436
"66",0.514285714285714,"half-PC",0.230907899049492,0.00206913768796992
"67",0.528571428571429,"half-PC",0.238840892728582,0.00194871945488722
"68",0.542857142857143,"half-PC",0.243285939968404,0.00180921052631579
"69",0.557142857142857,"half-PC",0.248126928162186,0.00165354793233083
"70",0.571428571428571,"half-PC",0.252722772277228,0.00149935385338346
"71",0.585714285714286,"half-PC",0.261256253474152,0.00138040413533835
"72",0.6,"half-PC",0.268489745183344,0.0012687969924812
"73",0.614285714285714,"half-PC",0.271796681962584,0.00113075657894737
"74",0.628571428571429,"half-PC",0.273421793325292,0.00099859022556391
"75",0.642857142857143,"half-PC",0.279378143575674,0.000897262687969925
"76",0.657142857142857,"half-PC",0.292939936775553,0.000816494360902256
"77",0.671428571428571,"half-PC",0.300947867298578,0.000746005639097744
"78",0.685714285714286,"half-PC",0.313804713804714,0.000684328007518797
"79",0.7,"half-PC",0.321725965177896,0.000624118890977444
"80",0.714285714285714,"half-PC",0.328981723237598,0.000555098684210526
"81",0.728571428571429,"half-PC",0.337361530715005,0.000491952537593985
"82",0.742857142857143,"half-PC",0.352601156069364,0.000447897086466165
"83",0.757142857142857,"half-PC",0.359625668449198,0.000395030545112782
"84",0.771428571428571,"half-PC",0.373692077727952,0.000367128759398496
"85",0.785714285714286,"half-PC",0.374581939799331,0.000328947368421053
"86",0.8,"half-PC",0.380333951762523,0.000301045582706767
"87",0.814285714285714,"half-PC",0.386694386694387,0.000273143796992481
"88",0.828571428571429,"half-PC",0.401425178147268,0.000248179041353383
"89",0.842857142857143,"half-PC",0.424324324324324,0.000230556860902256
