"","lambda","type","precision","recall"
"1",0.3,"PC corrected",0.215655073122679,0.00417939379699248
"2",0.314285714285714,"PC corrected",0.225800895625215,0.00385044642857143
"3",0.328571428571429,"PC corrected",0.237594862813777,0.00358611372180451
"4",0.342857142857143,"PC corrected",0.248130224373075,0.00331296992481203
"5",0.357142857142857,"PC corrected",0.257178065311152,0.00306479088345865
"6",0.371428571428571,"PC corrected",0.266429840142096,0.00286360432330827
"7",0.385714285714286,"PC corrected",0.27474870545233,0.00264920112781955
"8",0.4,"PC corrected",0.28116576819407,0.00245095159774436
"9",0.414285714285714,"PC corrected",0.28817642698295,0.00228354088345865
"10",0.428571428571429,"PC corrected",0.294622776528317,0.00211613016917293
"11",0.442857142857143,"PC corrected",0.302694136291601,0.00196340460526316
"12",0.457142857142857,"PC corrected",0.308333333333333,0.00179305686090226
"13",0.471428571428571,"PC corrected",0.311677401288155,0.00163445723684211
"14",0.485714285714286,"PC corrected",0.318364818829359,0.00150963345864662
"15",0.5,"PC corrected",0.327503429355281,0.00140243186090226
"16",0.514285714285714,"PC corrected",0.332705350414469,0.00129669877819549
"17",0.528571428571429,"PC corrected",0.342083333333333,0.00120565084586466
"18",0.542857142857143,"PC corrected",0.347069597069597,0.00111313439849624
"19",0.557142857142857,"PC corrected",0.353596757852077,0.0010250234962406
"20",0.571428571428571,"PC corrected",0.354247640199889,0.000936912593984962
"21",0.585714285714286,"PC corrected",0.36280487804878,0.000873766447368421
"22",0.6,"PC corrected",0.371812080536913,0.000813557330827068
"23",0.614285714285714,"PC corrected",0.37667161961367,0.00074453712406015
"24",0.628571428571429,"PC corrected",0.375407166123779,0.000676985432330827
"25",0.642857142857143,"PC corrected",0.370205173951829,0.000609433740601504
"26",0.657142857142857,"PC corrected",0.371014492753623,0.00056390977443609
"27",0.671428571428571,"PC corrected",0.376705141657922,0.000527196898496241
"28",0.685714285714286,"PC corrected",0.383654937570942,0.000496358082706767
"29",0.7,"PC corrected",0.395858708891596,0.000477267387218045
