"","Var1","Var2","value"
"1",0.3,"PC-corrected",15903
"2",0.314285714285714,"PC-corrected",13937
"3",0.328571428571429,"PC-corrected",12302
"4",0.342857142857143,"PC-corrected",10937
"5",0.357142857142857,"PC-corrected",9740
"6",0.371428571428571,"PC-corrected",8727
"7",0.385714285714286,"PC-corrected",7794
"8",0.4,"PC-corrected",7020
"9",0.414285714285714,"PC-corrected",6316
"10",0.428571428571429,"PC-corrected",5687
"11",0.442857142857143,"PC-corrected",5146
"12",0.457142857142857,"PC-corrected",4635
"13",0.471428571428571,"PC-corrected",4191
"14",0.485714285714286,"PC-corrected",3814
"15",0.5,"PC-corrected",3475
"16",0.514285714285714,"PC-corrected",3161
"17",0.528571428571429,"PC-corrected",2862
"18",0.542857142857143,"PC-corrected",2598
"19",0.557142857142857,"PC-corrected",2348
"20",0.571428571428571,"PC-corrected",2114
"21",0.585714285714286,"PC-corrected",1890
"22",0.6,"PC-corrected",1704
"23",0.614285714285714,"PC-corrected",1548
"24",0.628571428571429,"PC-corrected",1406
"25",0.642857142857143,"PC-corrected",1274
"26",0.657142857142857,"PC-corrected",1142
"27",0.671428571428571,"PC-corrected",1023
"28",0.685714285714286,"PC-corrected",936
"29",0.7,"PC-corrected",844
"30",0.714285714285714,"PC-corrected",769
"31",0.728571428571429,"PC-corrected",697
"32",0.742857142857143,"PC-corrected",621
"33",0.757142857142857,"PC-corrected",551
"34",0.771428571428571,"PC-corrected",506
"35",0.785714285714286,"PC-corrected",462
"36",0.8,"PC-corrected",414
"37",0.814285714285714,"PC-corrected",374
"38",0.828571428571429,"PC-corrected",339
"39",0.842857142857143,"PC-corrected",304
"40",0.857142857142857,"PC-corrected",274
"41",0.871428571428571,"PC-corrected",241
"42",0.885714285714286,"PC-corrected",216
"43",0.9,"PC-corrected",184
"44",0.914285714285714,"PC-corrected",146
"45",0.928571428571429,"PC-corrected",114
"46",0.942857142857143,"PC-corrected",71
"47",0.957142857142857,"PC-corrected",27
"48",0.971428571428571,"PC-corrected",8
"49",0.985714285714286,"PC-corrected",0
"50",1,"PC-corrected",0
"51",0.3,"half-PC",38784
"52",0.314285714285714,"half-PC",35009
"53",0.328571428571429,"half-PC",31566
"54",0.342857142857143,"half-PC",28680
"55",0.357142857142857,"half-PC",26009
"56",0.371428571428571,"half-PC",23784
"57",0.385714285714286,"half-PC",21621
"58",0.4,"half-PC",19750
"59",0.414285714285714,"half-PC",18036
"60",0.428571428571429,"half-PC",16484
"61",0.442857142857143,"half-PC",15022
"62",0.457142857142857,"half-PC",13635
"63",0.471428571428571,"half-PC",12376
"64",0.485714285714286,"half-PC",11277
"65",0.5,"half-PC",10279
"66",0.514285714285714,"half-PC",9299
"67",0.528571428571429,"half-PC",8415
"68",0.542857142857143,"half-PC",7579
"69",0.557142857142857,"half-PC",6834
"70",0.571428571428571,"half-PC",6164
"71",0.585714285714286,"half-PC",5525
"72",0.6,"half-PC",4931
"73",0.614285714285714,"half-PC",4369
"74",0.628571428571429,"half-PC",3881
"75",0.642857142857143,"half-PC",3456
"76",0.657142857142857,"half-PC",3066
"77",0.671428571428571,"half-PC",2705
"78",0.685714285714286,"half-PC",2374
"79",0.7,"half-PC",2085
"80",0.714285714285714,"half-PC",1789
"81",0.728571428571429,"half-PC",1555
"82",0.742857142857143,"half-PC",1335
"83",0.757142857142857,"half-PC",1156
"84",0.771428571428571,"half-PC",1001
"85",0.785714285714286,"half-PC",858
"86",0.8,"half-PC",746
"87",0.814285714285714,"half-PC",621
"88",0.828571428571429,"half-PC",511
