"","Var1","Var2","value"
"1",0.3,"PC-corrected",7564
"2",0.314285714285714,"PC-corrected",6563
"3",0.328571428571429,"PC-corrected",5745
"4",0.342857142857143,"PC-corrected",5097
"5",0.357142857142857,"PC-corrected",4536
"6",0.371428571428571,"PC-corrected",4040
"7",0.385714285714286,"PC-corrected",3598
"8",0.4,"PC-corrected",3237
"9",0.414285714285714,"PC-corrected",2942
"10",0.428571428571429,"PC-corrected",2667
"11",0.442857142857143,"PC-corrected",2411
"12",0.457142857142857,"PC-corrected",2200
"13",0.471428571428571,"PC-corrected",2018
"14",0.485714285714286,"PC-corrected",1862
"15",0.5,"PC-corrected",1717
"16",0.514285714285714,"PC-corrected",1572
"17",0.528571428571429,"PC-corrected",1453
"18",0.542857142857143,"PC-corrected",1350
"19",0.557142857142857,"PC-corrected",1275
"20",0.571428571428571,"PC-corrected",1184
"21",0.585714285714286,"PC-corrected",1094
"22",0.6,"PC-corrected",1000
"23",0.614285714285714,"PC-corrected",923
"24",0.628571428571429,"PC-corrected",862
"25",0.642857142857143,"PC-corrected",791
"26",0.657142857142857,"PC-corrected",726
"27",0.671428571428571,"PC-corrected",686
"28",0.685714285714286,"PC-corrected",656
"29",0.7,"PC-corrected",621
"30",0.714285714285714,"PC-corrected",577
"31",0.728571428571429,"PC-corrected",539
"32",0.742857142857143,"PC-corrected",501
"33",0.757142857142857,"PC-corrected",476
"34",0.771428571428571,"PC-corrected",448
"35",0.785714285714286,"PC-corrected",415
"36",0.8,"PC-corrected",383
"37",0.814285714285714,"PC-corrected",358
"38",0.828571428571429,"PC-corrected",326
"39",0.842857142857143,"PC-corrected",307
"40",0.857142857142857,"PC-corrected",275
"41",0.871428571428571,"PC-corrected",246
"42",0.885714285714286,"PC-corrected",208
"43",0.9,"PC-corrected",168
"44",0.914285714285714,"PC-corrected",126
"45",0.928571428571429,"PC-corrected",92
"46",0.942857142857143,"PC-corrected",64
"47",0.957142857142857,"PC-corrected",30
"48",0.971428571428571,"PC-corrected",5
"49",0.985714285714286,"PC-corrected",0
"50",1,"PC-corrected",0
"51",0.3,"half-PC",19607
"52",0.314285714285714,"half-PC",17224
"53",0.328571428571429,"half-PC",15225
"54",0.342857142857143,"half-PC",13476
"55",0.357142857142857,"half-PC",12014
"56",0.371428571428571,"half-PC",10708
"57",0.385714285714286,"half-PC",9530
"58",0.4,"half-PC",8520
"59",0.414285714285714,"half-PC",7613
"60",0.428571428571429,"half-PC",6889
"61",0.442857142857143,"half-PC",6259
"62",0.457142857142857,"half-PC",5643
"63",0.471428571428571,"half-PC",5043
"64",0.485714285714286,"half-PC",4514
"65",0.5,"half-PC",4113
"66",0.514285714285714,"half-PC",3720
"67",0.528571428571429,"half-PC",3390
"68",0.542857142857143,"half-PC",3084
"69",0.557142857142857,"half-PC",2819
"70",0.571428571428571,"half-PC",2574
"71",0.585714285714286,"half-PC",2306
"72",0.6,"half-PC",2100
"73",0.614285714285714,"half-PC",1905
"74",0.628571428571429,"half-PC",1734
"75",0.642857142857143,"half-PC",1574
"76",0.657142857142857,"half-PC",1430
"77",0.671428571428571,"half-PC",1296
"78",0.685714285714286,"half-PC",1185
"79",0.7,"half-PC",1089
"80",0.714285714285714,"half-PC",993
"81",0.728571428571429,"half-PC",892
"82",0.742857142857143,"half-PC",809
"83",0.757142857142857,"half-PC",740
"84",0.771428571428571,"half-PC",667
"85",0.785714285714286,"half-PC",606
"86",0.8,"half-PC",538
"87",0.814285714285714,"half-PC",487
"88",0.828571428571429,"half-PC",420
"89",0.842857142857143,"half-PC",376
"90",0.857142857142857,"half-PC",333
"91",0.871428571428571,"half-PC",295
"92",0.885714285714286,"half-PC",259
"93",0.9,"half-PC",220
"94",0.914285714285714,"half-PC",158
"95",0.928571428571429,"half-PC",117
"96",0.942857142857143,"half-PC",80
"97",0.957142857142857,"half-PC",45
"98",0.971428571428571,"half-PC",7
"99",0.985714285714286,"half-PC",0
"100",1,"half-PC",0
"101",0.3,"quarter-PC",38563
"102",0.314285714285714,"quarter-PC",34247
"103",0.328571428571429,"quarter-PC",30522
"104",0.342857142857143,"quarter-PC",27347
"105",0.357142857142857,"quarter-PC",24535
"106",0.371428571428571,"quarter-PC",22023
"107",0.385714285714286,"quarter-PC",19834
"108",0.4,"quarter-PC",17800
"109",0.414285714285714,"quarter-PC",16088
"110",0.428571428571429,"quarter-PC",14511
"111",0.442857142857143,"quarter-PC",13057
"112",0.457142857142857,"quarter-PC",11824
"113",0.471428571428571,"quarter-PC",10671
"114",0.485714285714286,"quarter-PC",9630
"115",0.5,"quarter-PC",8721
"116",0.514285714285714,"quarter-PC",7870
"117",0.528571428571429,"quarter-PC",7068
"118",0.542857142857143,"quarter-PC",6380
"119",0.557142857142857,"quarter-PC",5698
"120",0.571428571428571,"quarter-PC",5112
"121",0.585714285714286,"quarter-PC",4642
"122",0.6,"quarter-PC",4165
"123",0.614285714285714,"quarter-PC",3714
"124",0.628571428571429,"quarter-PC",3313
"125",0.642857142857143,"quarter-PC",2968
"126",0.657142857142857,"quarter-PC",2632
"127",0.671428571428571,"quarter-PC",2299
"128",0.685714285714286,"quarter-PC",2022
"129",0.7,"quarter-PC",1791
"130",0.714285714285714,"quarter-PC",1553
"131",0.728571428571429,"quarter-PC",1354
