"","Var1","Var2","value"
"1",0.3,"PC-corrected",14385
"2",0.314285714285714,"PC-corrected",12594
"3",0.328571428571429,"PC-corrected",11154
"4",0.342857142857143,"PC-corrected",9924
"5",0.357142857142857,"PC-corrected",8861
"6",0.371428571428571,"PC-corrected",7886
"7",0.385714285714286,"PC-corrected",7042
"8",0.4,"PC-corrected",6340
"9",0.414285714285714,"PC-corrected",5698
"10",0.428571428571429,"PC-corrected",5149
"11",0.442857142857143,"PC-corrected",4635
"12",0.457142857142857,"PC-corrected",4200
"13",0.471428571428571,"PC-corrected",3783
"14",0.485714285714286,"PC-corrected",3459
"15",0.5,"PC-corrected",3147
"16",0.514285714285714,"PC-corrected",2877
"17",0.528571428571429,"PC-corrected",2625
"18",0.542857142857143,"PC-corrected",2347
"19",0.557142857142857,"PC-corrected",2116
"20",0.571428571428571,"PC-corrected",1889
"21",0.585714285714286,"PC-corrected",1697
"22",0.6,"PC-corrected",1545
"23",0.614285714285714,"PC-corrected",1392
"24",0.628571428571429,"PC-corrected",1257
"25",0.642857142857143,"PC-corrected",1135
"26",0.657142857142857,"PC-corrected",1029
"27",0.671428571428571,"PC-corrected",926
"28",0.685714285714286,"PC-corrected",834
"29",0.7,"PC-corrected",760
"30",0.714285714285714,"PC-corrected",682
"31",0.728571428571429,"PC-corrected",610
"32",0.742857142857143,"PC-corrected",553
"33",0.757142857142857,"PC-corrected",505
"34",0.771428571428571,"PC-corrected",452
"35",0.785714285714286,"PC-corrected",414
"36",0.8,"PC-corrected",380
"37",0.814285714285714,"PC-corrected",343
"38",0.828571428571429,"PC-corrected",304
"39",0.842857142857143,"PC-corrected",277
"40",0.857142857142857,"PC-corrected",248
"41",0.871428571428571,"PC-corrected",221
"42",0.885714285714286,"PC-corrected",199
"43",0.9,"PC-corrected",176
"44",0.914285714285714,"PC-corrected",154
"45",0.928571428571429,"PC-corrected",123
"46",0.942857142857143,"PC-corrected",88
"47",0.957142857142857,"PC-corrected",50
"48",0.971428571428571,"PC-corrected",12
"49",0.985714285714286,"PC-corrected",0
"50",1,"PC-corrected",0
"51",0.3,"half-PC",29431
"52",0.314285714285714,"half-PC",25728
"53",0.328571428571429,"half-PC",22754
"54",0.342857142857143,"half-PC",20289
"55",0.357142857142857,"half-PC",18129
"56",0.371428571428571,"half-PC",16325
"57",0.385714285714286,"half-PC",14725
"58",0.4,"half-PC",13330
"59",0.414285714285714,"half-PC",12080
"60",0.428571428571429,"half-PC",10971
"61",0.442857142857143,"half-PC",9964
"62",0.457142857142857,"half-PC",9043
"63",0.471428571428571,"half-PC",8264
"64",0.485714285714286,"half-PC",7516
"65",0.5,"half-PC",6810
"66",0.514285714285714,"half-PC",6161
"67",0.528571428571429,"half-PC",5611
"68",0.542857142857143,"half-PC",5116
"69",0.557142857142857,"half-PC",4588
"70",0.571428571428571,"half-PC",4087
"71",0.585714285714286,"half-PC",3642
"72",0.6,"half-PC",3261
"73",0.614285714285714,"half-PC",2874
"74",0.628571428571429,"half-PC",2528
"75",0.642857142857143,"half-PC",2226
"76",0.657142857142857,"half-PC",1937
"77",0.671428571428571,"half-PC",1725
"78",0.685714285714286,"half-PC",1519
"79",0.7,"half-PC",1352
"80",0.714285714285714,"half-PC",1179
"81",0.728571428571429,"half-PC",1023
"82",0.742857142857143,"half-PC",891
"83",0.757142857142857,"half-PC",771
"84",0.771428571428571,"half-PC",689
"85",0.785714285714286,"half-PC",616
"86",0.8,"half-PC",556
"87",0.814285714285714,"half-PC",496
"88",0.828571428571429,"half-PC",435
"89",0.842857142857143,"half-PC",384
"90",0.857142857142857,"half-PC",331
"91",0.871428571428571,"half-PC",286
"92",0.885714285714286,"half-PC",251
"93",0.9,"half-PC",221
"94",0.914285714285714,"half-PC",187
"95",0.928571428571429,"half-PC",148
"96",0.942857142857143,"half-PC",99
"97",0.957142857142857,"half-PC",69
"98",0.971428571428571,"half-PC",13
"99",0.985714285714286,"half-PC",0
"100",1,"half-PC",0
"101",0.3,"quarter-PC",56603
"102",0.314285714285714,"quarter-PC",51105
"103",0.328571428571429,"quarter-PC",46020
"104",0.342857142857143,"quarter-PC",41401
"105",0.357142857142857,"quarter-PC",37176
"106",0.371428571428571,"quarter-PC",33493
"107",0.385714285714286,"quarter-PC",30137
"108",0.4,"quarter-PC",27180
"109",0.414285714285714,"quarter-PC",24485
"110",0.428571428571429,"quarter-PC",22124
"111",0.442857142857143,"quarter-PC",19985
"112",0.457142857142857,"quarter-PC",18008
"113",0.471428571428571,"quarter-PC",16343
"114",0.485714285714286,"quarter-PC",14734
"115",0.5,"quarter-PC",13331
"116",0.514285714285714,"quarter-PC",11967
"117",0.528571428571429,"quarter-PC",10792
"118",0.542857142857143,"quarter-PC",9626
"119",0.557142857142857,"quarter-PC",8593
"120",0.571428571428571,"quarter-PC",7563
"121",0.585714285714286,"quarter-PC",6713
"122",0.6,"quarter-PC",5910
"123",0.614285714285714,"quarter-PC",5218
"124",0.628571428571429,"quarter-PC",4545
"125",0.642857142857143,"quarter-PC",3939
"126",0.657142857142857,"quarter-PC",3379
"127",0.671428571428571,"quarter-PC",2895
"128",0.685714285714286,"quarter-PC",2467
"129",0.7,"quarter-PC",2085
"130",0.714285714285714,"quarter-PC",1785
"131",0.728571428571429,"quarter-PC",1497
"132",0.742857142857143,"quarter-PC",1276
"133",0.757142857142857,"quarter-PC",1092
