"","Var1","Var2","value"
"1",0.3,"PC-corrected",13385
"2",0.314285714285714,"PC-corrected",11781
"3",0.328571428571429,"PC-corrected",10431
"4",0.342857142857143,"PC-corrected",9229
"5",0.357142857142857,"PC-corrected",8240
"6",0.371428571428571,"PC-corrected",7432
"7",0.385714285714286,"PC-corrected",6668
"8",0.4,"PC-corrected",6028
"9",0.414285714285714,"PC-corrected",5481
"10",0.428571428571429,"PC-corrected",4968
"11",0.442857142857143,"PC-corrected",4490
"12",0.457142857142857,"PC-corrected",4028
"13",0.471428571428571,"PC-corrected",3631
"14",0.485714285714286,"PC-corrected",3282
"15",0.5,"PC-corrected",2965
"16",0.514285714285714,"PC-corrected",2701
"17",0.528571428571429,"PC-corrected",2445
"18",0.542857142857143,"PC-corrected",2224
"19",0.557142857142857,"PC-corrected",2014
"20",0.571428571428571,"PC-corrected",1836
"21",0.585714285714286,"PC-corrected",1675
"22",0.6,"PC-corrected",1525
"23",0.614285714285714,"PC-corrected",1378
"24",0.628571428571429,"PC-corrected",1258
"25",0.642857142857143,"PC-corrected",1149
"26",0.657142857142857,"PC-corrected",1061
"27",0.671428571428571,"PC-corrected",978
"28",0.685714285714286,"PC-corrected",905
"29",0.7,"PC-corrected",846
"30",0.714285714285714,"PC-corrected",758
"31",0.728571428571429,"PC-corrected",690
"32",0.742857142857143,"PC-corrected",630
"33",0.757142857142857,"PC-corrected",584
"34",0.771428571428571,"PC-corrected",534
"35",0.785714285714286,"PC-corrected",480
"36",0.8,"PC-corrected",430
"37",0.814285714285714,"PC-corrected",398
"38",0.828571428571429,"PC-corrected",367
"39",0.842857142857143,"PC-corrected",333
"40",0.857142857142857,"PC-corrected",310
"41",0.871428571428571,"PC-corrected",271
"42",0.885714285714286,"PC-corrected",251
"43",0.9,"PC-corrected",216
"44",0.914285714285714,"PC-corrected",191
"45",0.928571428571429,"PC-corrected",148
"46",0.942857142857143,"PC-corrected",90
"47",0.957142857142857,"PC-corrected",59
"48",0.971428571428571,"PC-corrected",1
"49",0.985714285714286,"PC-corrected",0
"50",1,"PC-corrected",0
"51",0.3,"half-PC",26557
"52",0.314285714285714,"half-PC",23041
"53",0.328571428571429,"half-PC",20213
"54",0.342857142857143,"half-PC",17820
"55",0.357142857142857,"half-PC",15806
"56",0.371428571428571,"half-PC",14153
"57",0.385714285714286,"half-PC",12692
"58",0.4,"half-PC",11397
"59",0.414285714285714,"half-PC",10339
"60",0.428571428571429,"half-PC",9345
"61",0.442857142857143,"half-PC",8495
"62",0.457142857142857,"half-PC",7691
"63",0.471428571428571,"half-PC",6979
"64",0.485714285714286,"half-PC",6304
"65",0.5,"half-PC",5679
"66",0.514285714285714,"half-PC",5136
"67",0.528571428571429,"half-PC",4650
"68",0.542857142857143,"half-PC",4204
"69",0.557142857142857,"half-PC",3805
"70",0.571428571428571,"half-PC",3429
"71",0.585714285714286,"half-PC",3075
"72",0.6,"half-PC",2754
"73",0.614285714285714,"half-PC",2446
"74",0.628571428571429,"half-PC",2185
"75",0.642857142857143,"half-PC",1954
"76",0.657142857142857,"half-PC",1731
"77",0.671428571428571,"half-PC",1544
"78",0.685714285714286,"half-PC",1388
"79",0.7,"half-PC",1247
"80",0.714285714285714,"half-PC",1112
"81",0.728571428571429,"half-PC",992
"82",0.742857142857143,"half-PC",878
"83",0.757142857142857,"half-PC",791
"84",0.771428571428571,"half-PC",710
"85",0.785714285714286,"half-PC",638
"86",0.8,"half-PC",560
"87",0.814285714285714,"half-PC",498
"88",0.828571428571429,"half-PC",437
"89",0.842857142857143,"half-PC",386
"90",0.857142857142857,"half-PC",350
"91",0.871428571428571,"half-PC",320
"92",0.885714285714286,"half-PC",280
"93",0.9,"half-PC",243
