"","Var1","Var2","value"
"1",0.9,"PC-corrected",3038
"2",0.902040816326531,"PC-corrected",3173
"3",0.904081632653061,"PC-corrected",3232
"4",0.906122448979592,"PC-corrected",3289
"5",0.908163265306122,"PC-corrected",3433
"6",0.910204081632653,"PC-corrected",3472
"7",0.912244897959184,"PC-corrected",3590
"8",0.914285714285714,"PC-corrected",3655
"9",0.916326530612245,"PC-corrected",3735
"10",0.918367346938776,"PC-corrected",3951
"11",0.920408163265306,"PC-corrected",4086
"12",0.922448979591837,"PC-corrected",4234
"13",0.924489795918367,"PC-corrected",4661
"14",0.926530612244898,"PC-corrected",4887
"15",0.928571428571429,"PC-corrected",5136
"16",0.930612244897959,"PC-corrected",5378
"17",0.93265306122449,"PC-corrected",5633
"18",0.93469387755102,"PC-corrected",5963
"19",0.936734693877551,"PC-corrected",6160
"20",0.938775510204082,"PC-corrected",7157
"21",0.940816326530612,"PC-corrected",7426
"22",0.942857142857143,"PC-corrected",7800
"23",0.944897959183673,"PC-corrected",8112
"24",0.946938775510204,"PC-corrected",8411
"25",0.948979591836735,"PC-corrected",8619
"26",0.951020408163265,"PC-corrected",9265
"27",0.953061224489796,"PC-corrected",10489
"28",0.955102040816327,"PC-corrected",11126
"29",0.957142857142857,"PC-corrected",11534
"30",0.959183673469388,"PC-corrected",12520
"31",0.961224489795918,"PC-corrected",14094
"32",0.963265306122449,"PC-corrected",14530
"33",0.96530612244898,"PC-corrected",15963
"34",0.96734693877551,"PC-corrected",16819
"35",0.969387755102041,"PC-corrected",18603
"36",0.971428571428571,"PC-corrected",19962
"37",0.973469387755102,"PC-corrected",22157
"38",0.975510204081633,"PC-corrected",24823
"39",0.977551020408163,"PC-corrected",26829
"40",0.979591836734694,"PC-corrected",28342
"41",0.981632653061224,"PC-corrected",30072
"42",0.983673469387755,"PC-corrected",32070
"43",0.985714285714286,"PC-corrected",35951
"44",0.987755102040816,"PC-corrected",39783
"45",0.989795918367347,"PC-corrected",44454
"46",0.991836734693878,"PC-corrected",48512
"47",0.993877551020408,"PC-corrected",53339
"48",0.995918367346939,"PC-corrected",58596
"49",0.997959183673469,"PC-corrected",60183
"50",1,"PC-corrected",61751
"51",0.9,"half-PC",18248
"52",0.902040816326531,"half-PC",18983
"53",0.904081632653061,"half-PC",19648
"54",0.906122448979592,"half-PC",20157
"55",0.908163265306122,"half-PC",20810
"56",0.910204081632653,"half-PC",21578
"57",0.912244897959184,"half-PC",22998
"58",0.914285714285714,"half-PC",23391
"59",0.916326530612245,"half-PC",24359
"60",0.918367346938776,"half-PC",25112
"61",0.920408163265306,"half-PC",26100
"62",0.922448979591837,"half-PC",27315
"63",0.924489795918367,"half-PC",28342
"64",0.926530612244898,"half-PC",30073
"65",0.928571428571429,"half-PC",30930
"66",0.930612244897959,"half-PC",32020
"67",0.93265306122449,"half-PC",33125
"68",0.93469387755102,"half-PC",35532
"69",0.936734693877551,"half-PC",36095
"70",0.938775510204082,"half-PC",36865
"71",0.940816326530612,"half-PC",39785
"72",0.942857142857143,"half-PC",41032
