"","Var1","Var2","value"
"1",0.9,"PC-corrected",1469
"2",0.902040816326531,"PC-corrected",1494
"3",0.904081632653061,"PC-corrected",1505
"4",0.906122448979592,"PC-corrected",1541
"5",0.908163265306122,"PC-corrected",1596
"6",0.910204081632653,"PC-corrected",1608
"7",0.912244897959184,"PC-corrected",1716
"8",0.914285714285714,"PC-corrected",1832
"9",0.916326530612245,"PC-corrected",1857
"10",0.918367346938776,"PC-corrected",1928
"11",0.920408163265306,"PC-corrected",2003
"12",0.922448979591837,"PC-corrected",2061
"13",0.924489795918367,"PC-corrected",2076
"14",0.926530612244898,"PC-corrected",2165
"15",0.928571428571429,"PC-corrected",2259
"16",0.930612244897959,"PC-corrected",2292
"17",0.93265306122449,"PC-corrected",2336
"18",0.93469387755102,"PC-corrected",2412
"19",0.936734693877551,"PC-corrected",2503
"20",0.938775510204082,"PC-corrected",2772
"21",0.940816326530612,"PC-corrected",2840
"22",0.942857142857143,"PC-corrected",2959
"23",0.944897959183673,"PC-corrected",3213
"24",0.946938775510204,"PC-corrected",3355
"25",0.948979591836735,"PC-corrected",3436
"26",0.951020408163265,"PC-corrected",3507
"27",0.953061224489796,"PC-corrected",3774
"28",0.955102040816327,"PC-corrected",3848
"29",0.957142857142857,"PC-corrected",3990
"30",0.959183673469388,"PC-corrected",4220
"31",0.961224489795918,"PC-corrected",4481
"32",0.963265306122449,"PC-corrected",4695
"33",0.96530612244898,"PC-corrected",4991
"34",0.96734693877551,"PC-corrected",5443
"35",0.969387755102041,"PC-corrected",5609
"36",0.971428571428571,"PC-corrected",5987
"37",0.973469387755102,"PC-corrected",6297
"38",0.975510204081633,"PC-corrected",6872
"39",0.977551020408163,"PC-corrected",7343
"40",0.979591836734694,"PC-corrected",8620
"41",0.981632653061224,"PC-corrected",9371
"42",0.983673469387755,"PC-corrected",10139
"43",0.985714285714286,"PC-corrected",13339
"44",0.987755102040816,"PC-corrected",15143
"45",0.989795918367347,"PC-corrected",16406
"46",0.991836734693878,"PC-corrected",19144
"47",0.993877551020408,"PC-corrected",22415
