"","Var1","Var2","value"
"1",0.9,"PC-corrected",2815
"2",0.902040816326531,"PC-corrected",2970
"3",0.904081632653061,"PC-corrected",3039
"4",0.906122448979592,"PC-corrected",3153
"5",0.908163265306122,"PC-corrected",3309
"6",0.910204081632653,"PC-corrected",3506
"7",0.912244897959184,"PC-corrected",3570
"8",0.914285714285714,"PC-corrected",3681
"9",0.916326530612245,"PC-corrected",3808
"10",0.918367346938776,"PC-corrected",3933
"11",0.920408163265306,"PC-corrected",4024
"12",0.922448979591837,"PC-corrected",4243
"13",0.924489795918367,"PC-corrected",4365
"14",0.926530612244898,"PC-corrected",4703
"15",0.928571428571429,"PC-corrected",5021
"16",0.930612244897959,"PC-corrected",5219
"17",0.93265306122449,"PC-corrected",5490
"18",0.93469387755102,"PC-corrected",5739
"19",0.936734693877551,"PC-corrected",5948
"20",0.938775510204082,"PC-corrected",6335
"21",0.940816326530612,"PC-corrected",6495
"22",0.942857142857143,"PC-corrected",6811
"23",0.944897959183673,"PC-corrected",6887
"24",0.946938775510204,"PC-corrected",7236
"25",0.948979591836735,"PC-corrected",7645
"26",0.951020408163265,"PC-corrected",8076
"27",0.953061224489796,"PC-corrected",8420
"28",0.955102040816327,"PC-corrected",8880
"29",0.957142857142857,"PC-corrected",9320
"30",0.959183673469388,"PC-corrected",9600
"31",0.961224489795918,"PC-corrected",10485
"32",0.963265306122449,"PC-corrected",11106
"33",0.96530612244898,"PC-corrected",11832
"34",0.96734693877551,"PC-corrected",12423
"35",0.969387755102041,"PC-corrected",13249
"36",0.971428571428571,"PC-corrected",13983
"37",0.973469387755102,"PC-corrected",18347
"38",0.975510204081633,"PC-corrected",19878
"39",0.977551020408163,"PC-corrected",20962
"40",0.979591836734694,"PC-corrected",22013
"41",0.981632653061224,"PC-corrected",24077
"42",0.983673469387755,"PC-corrected",30828
"43",0.985714285714286,"PC-corrected",32266
"44",0.987755102040816,"PC-corrected",36671
"45",0.989795918367347,"PC-corrected",42826
"46",0.991836734693878,"PC-corrected",47266
"47",0.993877551020408,"PC-corrected",49286
"48",0.995918367346939,"PC-corrected",52192
"49",0.997959183673469,"PC-corrected",53503
"50",1,"PC-corrected",53906
"51",0.9,"half-PC",10993
"52",0.902040816326531,"half-PC",11450
"53",0.904081632653061,"half-PC",11744
"54",0.906122448979592,"half-PC",12170
"55",0.908163265306122,"half-PC",12472
"56",0.910204081632653,"half-PC",12799
"57",0.912244897959184,"half-PC",13525
"58",0.914285714285714,"half-PC",13956
"59",0.916326530612245,"half-PC",14428
"60",0.918367346938776,"half-PC",15064
"61",0.920408163265306,"half-PC",16234
"62",0.922448979591837,"half-PC",16872
"63",0.924489795918367,"half-PC",17982
"64",0.926530612244898,"half-PC",18136
"65",0.928571428571429,"half-PC",18842
"66",0.930612244897959,"half-PC",19339
"67",0.93265306122449,"half-PC",20077
"68",0.93469387755102,"half-PC",20855
"69",0.936734693877551,"half-PC",22189
"70",0.938775510204082,"half-PC",23245
"71",0.940816326530612,"half-PC",24755
"72",0.942857142857143,"half-PC",25519
"73",0.944897959183673,"half-PC",26628
"74",0.946938775510204,"half-PC",27502
"75",0.948979591836735,"half-PC",28739
"76",0.951020408163265,"half-PC",30189
"77",0.953061224489796,"half-PC",32499
"78",0.955102040816327,"half-PC",34163
"79",0.957142857142857,"half-PC",36547
"80",0.959183673469388,"half-PC",38265
"81",0.961224489795918,"half-PC",41079
"82",0.963265306122449,"half-PC",42934
"83",0.96530612244898,"half-PC",44991
"84",0.96734693877551,"half-PC",48983
"85",0.969387755102041,"half-PC",55691
"86",0.971428571428571,"half-PC",58602
"87",0.973469387755102,"half-PC",62195
"88",0.975510204081633,"half-PC",65364
"89",0.977551020408163,"half-PC",71784
"90",0.979591836734694,"half-PC",78070
"91",0.981632653061224,"half-PC",72900
"92",0.983673469387755,"half-PC",79500
"93",0.985714285714286,"half-PC",93048
"94",0.987755102040816,"half-PC",99534
"95",0.989795918367347,"half-PC",96697
"96",0.991836734693878,"half-PC",100485
"97",0.993877551020408,"half-PC",107932
"98",0.995918367346939,"half-PC",109622
"99",0.997959183673469,"half-PC",117960
"100",1,"half-PC",117927
"101",0.9,"quarter-PC",11773
"102",0.902040816326531,"quarter-PC",12351
"103",0.904081632653061,"quarter-PC",13160
"104",0.906122448979592,"quarter-PC",13969
"105",0.908163265306122,"quarter-PC",14384
"106",0.910204081632653,"quarter-PC",15009
"107",0.912244897959184,"quarter-PC",15766
"108",0.914285714285714,"quarter-PC",16476
"109",0.916326530612245,"quarter-PC",16884
"110",0.918367346938776,"quarter-PC",17654
"111",0.920408163265306,"quarter-PC",18431
"112",0.922448979591837,"quarter-PC",18851
"113",0.924489795918367,"quarter-PC",19709
"114",0.926530612244898,"quarter-PC",20530
"115",0.928571428571429,"quarter-PC",23129
"116",0.930612244897959,"quarter-PC",23963
"117",0.93265306122449,"quarter-PC",24650
"118",0.93469387755102,"quarter-PC",25769
"119",0.936734693877551,"quarter-PC",26576
"120",0.938775510204082,"quarter-PC",27432
"121",0.940816326530612,"quarter-PC",28244
"122",0.942857142857143,"quarter-PC",29661
"123",0.944897959183673,"quarter-PC",31961
"124",0.946938775510204,"quarter-PC",33409
"125",0.948979591836735,"quarter-PC",36607
"126",0.951020408163265,"quarter-PC",38182
"127",0.953061224489796,"quarter-PC",40598
"128",0.955102040816327,"quarter-PC",42394
"129",0.957142857142857,"quarter-PC",43841
"130",0.959183673469388,"quarter-PC",53025
"131",0.961224489795918,"quarter-PC",57932
"132",0.963265306122449,"quarter-PC",68408
"133",0.96530612244898,"quarter-PC",70356
"134",0.96734693877551,"quarter-PC",75061
"135",0.969387755102041,"quarter-PC",77639
"136",0.971428571428571,"quarter-PC",82345
"137",0.973469387755102,"quarter-PC",85676
"138",0.975510204081633,"quarter-PC",91034
"139",0.977551020408163,"quarter-PC",95902
"140",0.979591836734694,"quarter-PC",105244
"141",0.981632653061224,"quarter-PC",114037
"142",0.983673469387755,"quarter-PC",132226
"143",0.985714285714286,"quarter-PC",139310
"144",0.987755102040816,"quarter-PC",147356
"145",0.989795918367347,"quarter-PC",171708
"146",0.991836734693878,"quarter-PC",179322
"147",0.993877551020408,"quarter-PC",199277
"148",0.995918367346939,"quarter-PC",220205
"149",0.997959183673469,"quarter-PC",234143
"150",1,"quarter-PC",225863
"151",0.9,"exonic rate",8214
"152",0.902040816326531,"exonic rate",8992
"153",0.904081632653061,"exonic rate",9701
"154",0.906122448979592,"exonic rate",10182
"155",0.908163265306122,"exonic rate",11176
"156",0.910204081632653,"exonic rate",12570
"157",0.912244897959184,"exonic rate",13690
"158",0.914285714285714,"exonic rate",15337
"159",0.916326530612245,"exonic rate",16526
"160",0.918367346938776,"exonic rate",17283
"161",0.920408163265306,"exonic rate",18455
"162",0.922448979591837,"exonic rate",19271
"163",0.924489795918367,"exonic rate",20695
"164",0.926530612244898,"exonic rate",25199
"165",0.928571428571429,"exonic rate",32591
"166",0.930612244897959,"exonic rate",34409
"167",0.93265306122449,"exonic rate",35806
"168",0.93469387755102,"exonic rate",37365
"169",0.936734693877551,"exonic rate",39586
"170",0.938775510204082,"exonic rate",38912
"171",0.940816326530612,"exonic rate",40266
"172",0.942857142857143,"exonic rate",41474
"173",0.944897959183673,"exonic rate",42945
"174",0.946938775510204,"exonic rate",45558
"175",0.948979591836735,"exonic rate",48730
"176",0.951020408163265,"exonic rate",50153
"177",0.953061224489796,"exonic rate",52661
"178",0.955102040816327,"exonic rate",55405
"179",0.957142857142857,"exonic rate",57577
"180",0.959183673469388,"exonic rate",62276
"181",0.961224489795918,"exonic rate",65968
"182",0.963265306122449,"exonic rate",71265
"183",0.96530612244898,"exonic rate",75351
"184",0.96734693877551,"exonic rate",78687
"185",0.969387755102041,"exonic rate",87622
"186",0.971428571428571,"exonic rate",94176
"187",0.973469387755102,"exonic rate",104804
"188",0.975510204081633,"exonic rate",115173
"189",0.977551020408163,"exonic rate",144287
"190",0.979591836734694,"exonic rate",164633
"191",0.981632653061224,"exonic rate",178556
"192",0.983673469387755,"exonic rate",199750
"193",0.985714285714286,"exonic rate",233586
"194",0.987755102040816,"exonic rate",264787
"195",0.989795918367347,"exonic rate",303388
"196",0.991836734693878,"exonic rate",360392
"197",0.993877551020408,"exonic rate",347851
"198",0.995918367346939,"exonic rate",315850
"199",0.997959183673469,"exonic rate",392443
"200",1,"exonic rate",433323
"201",0.9,"expeff",6700
"202",0.902040816326531,"expeff",6959
"203",0.904081632653061,"expeff",7494
"204",0.906122448979592,"expeff",8416
"205",0.908163265306122,"expeff",9118
"206",0.910204081632653,"expeff",10560
"207",0.912244897959184,"expeff",11483
"208",0.914285714285714,"expeff",12785
"209",0.916326530612245,"expeff",14188
"210",0.918367346938776,"expeff",18292
"211",0.920408163265306,"expeff",19828
"212",0.922448979591837,"expeff",20474
"213",0.924489795918367,"expeff",22012
"214",0.926530612244898,"expeff",24240
"215",0.928571428571429,"expeff",27102
"216",0.930612244897959,"expeff",26212
"217",0.93265306122449,"expeff",26977
"218",0.93469387755102,"expeff",28074
"219",0.936734693877551,"expeff",29730
"220",0.938775510204082,"expeff",30584
"221",0.940816326530612,"expeff",31835
"222",0.942857142857143,"expeff",41627
"223",0.944897959183673,"expeff",43104
"224",0.946938775510204,"expeff",44724
"225",0.948979591836735,"expeff",47542
"226",0.951020408163265,"expeff",49325
"227",0.953061224489796,"expeff",51070
"228",0.955102040816327,"expeff",54677
"229",0.957142857142857,"expeff",57786
"230",0.959183673469388,"expeff",65237
"231",0.961224489795918,"expeff",67683
"232",0.963265306122449,"expeff",70709
"233",0.96530612244898,"expeff",74632
"234",0.96734693877551,"expeff",79085
"235",0.969387755102041,"expeff",85278
"236",0.971428571428571,"expeff",89753
"237",0.973469387755102,"expeff",84504
"238",0.975510204081633,"expeff",123313
"239",0.977551020408163,"expeff",128297
"240",0.979591836734694,"expeff",148784
"241",0.981632653061224,"expeff",155662
"242",0.983673469387755,"expeff",173390
"243",0.985714285714286,"expeff",190902
"244",0.987755102040816,"expeff",237522
"245",0.989795918367347,"expeff",288741
"246",0.991836734693878,"expeff",364558
"247",0.993877551020408,"expeff",321028
"248",0.995918367346939,"expeff",456648
"249",0.997959183673469,"expeff",405230
"250",1,"expeff",471967
"251",0.9,"RIN corrected",5661
"252",0.902040816326531,"RIN corrected",6017
"253",0.904081632653061,"RIN corrected",6537
"254",0.906122448979592,"RIN corrected",6884
"255",0.908163265306122,"RIN corrected",7453
"256",0.910204081632653,"RIN corrected",8346
"257",0.912244897959184,"RIN corrected",9801
"258",0.914285714285714,"RIN corrected",10570
"259",0.916326530612245,"RIN corrected",11263
"260",0.918367346938776,"RIN corrected",12176
"261",0.920408163265306,"RIN corrected",13806
"262",0.922448979591837,"RIN corrected",18213
"263",0.924489795918367,"RIN corrected",19244
"264",0.926530612244898,"RIN corrected",20534
"265",0.928571428571429,"RIN corrected",21854
"266",0.930612244897959,"RIN corrected",25430
"267",0.93265306122449,"RIN corrected",27344
"268",0.93469387755102,"RIN corrected",27883
"269",0.936734693877551,"RIN corrected",29323
"270",0.938775510204082,"RIN corrected",31298
"271",0.940816326530612,"RIN corrected",33349
"272",0.942857142857143,"RIN corrected",34676
"273",0.944897959183673,"RIN corrected",36441
"274",0.946938775510204,"RIN corrected",41458
"275",0.948979591836735,"RIN corrected",41126
"276",0.951020408163265,"RIN corrected",44514
"277",0.953061224489796,"RIN corrected",50390
"278",0.955102040816327,"RIN corrected",52629
"279",0.957142857142857,"RIN corrected",54798
