V1 V2
1 C1QA C1QB
2 C1QA C1QC
3 C1QA C2
4 C1QA C3
5 C1QA C4A
6 C1QA C5
7 C1QA C6
8 C1QA C7
9 C1QA C8B
10 C1QA C8G
11 C1QB C1QC
12 C1QB C2
13 C1QB C3
14 C1QB C4A
15 C1QB C5
16 C1QB C6
17 C1QB C7
18 C1QB C8B
19 C1QB C8G
20 C1QC C2
21 C1QC C3
22 C1QC C4A
23 C1QC C5
24 C1QC C6
25 C1QC C7
26 C1QC C8B
27 C1QC C8G
28 C2 C3
29 C2 C4A
30 C2 C5
31 C2 C6
32 C2 C7
33 C2 C8B
34 C2 C8G
35 C3 C4A
36 C3 C5
37 C3 C6
38 C3 C7
39 C3 C8B
40 C3 C8G
41 C4A C5
42 C4A C6
43 C4A C7
44 C4A C8B
45 C4A C8G
46 C5 C6
47 C5 C7
48 C5 C8B
49 C5 C8G
50 C6 C7
51 C6 C8B
52 C6 C8G
53 C7 C8B
54 C7 C8G
55 C8B C8G
56 C2 MASP1
57 C2 MASP2
58 C3 MASP1
59 C3 MASP2
60 C4A MASP1
61 C4A MASP2
62 C5 MASP1
63 C5 MASP2
64 C6 MASP1
65 C6 MASP2
66 C7 MASP1
67 C7 MASP2
68 C8B MASP1
69 C8B MASP2
70 C8G MASP1
71 C8G MASP2
72 MASP1 MASP2
73 C3 CFD
74 C3 CFP
75 C5 CFD
76 C5 CFP
77 C6 CFD
78 C6 CFP
79 C7 CFD
80 C7 CFP
81 C8B CFD
82 C8B CFP
83 C8G CFD
84 C8G CFP
85 CFD CFP
86 MMP2 MMP9
87 MMP2 TIMP1
88 MMP2 TIMP3
89 MMP2 TIMP4
90 MMP9 TIMP1
91 MMP9 TIMP3
92 MMP9 TIMP4
93 TIMP1 TIMP3
94 TIMP1 TIMP4
95 TIMP3 TIMP4
96 LEP LEPR
97 ALOX5 ALOX5AP
98 ALOX5 CYP2J2
99 ALOX5 CYSLTR1
100 ALOX5 CYSLTR2
101 ALOX5 EPHX2
102 ALOX5 HPGDS
103 ALOX5 MPO
104 ALOX5 PLA2G1B
105 ALOX5 PLCB1
106 ALOX5 PTGER1
107 ALOX5 PTGER3
108 ALOX5 PTGER4
109 ALOX5 PTGES
110 ALOX5 PTGFR
111 ALOX5 PTGIR
112 ALOX5 PTGIS
113 ALOX5 PTGS1
114 ALOX5 TBXA2R
115 ALOX5 TBXAS1
116 ALOX5AP CYP2J2
117 ALOX5AP CYSLTR1
118 ALOX5AP CYSLTR2
119 ALOX5AP EPHX2
120 ALOX5AP HPGDS
121 ALOX5AP MPO
122 ALOX5AP PLA2G1B
123 ALOX5AP PLCB1
124 ALOX5AP PTGER1
125 ALOX5AP PTGER3
126 ALOX5AP PTGER4
127 ALOX5AP PTGES
128 ALOX5AP PTGFR
129 ALOX5AP PTGIR
130 ALOX5AP PTGIS
131 ALOX5AP PTGS1
132 ALOX5AP TBXA2R
133 ALOX5AP TBXAS1
134 CYP2J2 CYSLTR1
135 CYP2J2 CYSLTR2
136 CYP2J2 EPHX2
137 CYP2J2 HPGDS
138 CYP2J2 MPO
139 CYP2J2 PLA2G1B
140 CYP2J2 PLCB1
141 CYP2J2 PTGER1
142 CYP2J2 PTGER3
143 CYP2J2 PTGER4
144 CYP2J2 PTGES
145 CYP2J2 PTGFR
146 CYP2J2 PTGIR
147 CYP2J2 PTGIS
148 CYP2J2 PTGS1
149 CYP2J2 TBXA2R
150 CYP2J2 TBXAS1
151 CYSLTR1 CYSLTR2
152 CYSLTR1 EPHX2
153 CYSLTR1 HPGDS
154 CYSLTR1 MPO
155 CYSLTR1 PLA2G1B
156 CYSLTR1 PLCB1
157 CYSLTR1 PTGER1
158 CYSLTR1 PTGER3
159 CYSLTR1 PTGER4
160 CYSLTR1 PTGES
161 CYSLTR1 PTGFR
162 CYSLTR1 PTGIR
163 CYSLTR1 PTGIS
164 CYSLTR1 PTGS1
165 CYSLTR1 TBXA2R
166 CYSLTR1 TBXAS1
167 CYSLTR2 EPHX2
168 CYSLTR2 HPGDS
169 CYSLTR2 MPO
170 CYSLTR2 PLA2G1B
171 CYSLTR2 PLCB1
172 CYSLTR2 PTGER1
173 CYSLTR2 PTGER3
174 CYSLTR2 PTGER4
175 CYSLTR2 PTGES
176 CYSLTR2 PTGFR
177 CYSLTR2 PTGIR
178 CYSLTR2 PTGIS
179 CYSLTR2 PTGS1
180 CYSLTR2 TBXA2R
181 CYSLTR2 TBXAS1
182 EPHX2 HPGDS
183 EPHX2 MPO
184 EPHX2 PLA2G1B
185 EPHX2 PLCB1
186 EPHX2 PTGER1
187 EPHX2 PTGER3
188 EPHX2 PTGER4
189 EPHX2 PTGES
190 EPHX2 PTGFR
191 EPHX2 PTGIR
192 EPHX2 PTGIS
193 EPHX2 PTGS1
194 EPHX2 TBXA2R
195 EPHX2 TBXAS1
196 HPGDS MPO
197 HPGDS PLA2G1B
198 HPGDS PLCB1
199 HPGDS PTGER1
200 HPGDS PTGER3
201 HPGDS PTGER4
202 HPGDS PTGES
203 HPGDS PTGFR
204 HPGDS PTGIR
205 HPGDS PTGIS
206 HPGDS PTGS1
207 HPGDS TBXA2R
208 HPGDS TBXAS1
209 MPO PLA2G1B
210 MPO PLCB1
211 MPO PTGER1
212 MPO PTGER3
213 MPO PTGER4
214 MPO PTGES
215 MPO PTGFR
216 MPO PTGIR
217 MPO PTGIS
218 MPO PTGS1
219 MPO TBXA2R
220 MPO TBXAS1
221 PLA2G1B PLCB1
222 PLA2G1B PTGER1
223 PLA2G1B PTGER3
224 PLA2G1B PTGER4
225 PLA2G1B PTGES
226 PLA2G1B PTGFR
227 PLA2G1B PTGIR
228 PLA2G1B PTGIS
229 PLA2G1B PTGS1
230 PLA2G1B TBXA2R
231 PLA2G1B TBXAS1
232 PLCB1 PTGER1
233 PLCB1 PTGER3
234 PLCB1 PTGER4
235 PLCB1 PTGES
236 PLCB1 PTGFR
237 PLCB1 PTGIR
238 PLCB1 PTGIS
239 PLCB1 PTGS1
240 PLCB1 TBXA2R
241 PLCB1 TBXAS1
242 PTGER1 PTGER3
243 PTGER1 PTGER4
244 PTGER1 PTGES
245 PTGER1 PTGFR
246 PTGER1 PTGIR
247 PTGER1 PTGIS
248 PTGER1 PTGS1
249 PTGER1 TBXA2R
250 PTGER1 TBXAS1
251 PTGER3 PTGER4
252 PTGER3 PTGES
253 PTGER3 PTGFR
254 PTGER3 PTGIR
255 PTGER3 PTGIS
256 PTGER3 PTGS1
257 PTGER3 TBXA2R
258 PTGER3 TBXAS1
259 PTGER4 PTGES
260 PTGER4 PTGFR
261 PTGER4 PTGIR
262 PTGER4 PTGIS
263 PTGER4 PTGS1
264 PTGER4 TBXA2R
265 PTGER4 TBXAS1
266 PTGES PTGFR
267 PTGES PTGIR
268 PTGES PTGIS
269 PTGES PTGS1
270 PTGES TBXA2R
271 PTGES TBXAS1
272 PTGFR PTGIR
273 PTGFR PTGIS
274 PTGFR PTGS1
275 PTGFR TBXA2R
276 PTGFR TBXAS1
277 PTGIR PTGIS
278 PTGIR PTGS1
279 PTGIR TBXA2R
280 PTGIR TBXAS1
281 PTGIS PTGS1
282 PTGIS TBXA2R
283 PTGIS TBXAS1
284 PTGS1 TBXA2R
285 PTGS1 TBXAS1
286 TBXA2R TBXAS1
287 CYP1A2 CYP2E1
288 PTGS1 CYP1A2
289 PTGS1 CYP2E1
290 ALPL COL4A1
291 ALPL COL4A3
292 ALPL COL4A4
293 ALPL COL4A6
294 ALPL SPP1
295 COL4A1 COL4A3
296 COL4A1 COL4A4
297 COL4A1 COL4A6
298 COL4A1 SPP1
299 COL4A3 COL4A4
300 COL4A3 COL4A6
301 COL4A3 SPP1
302 COL4A4 COL4A6
303 COL4A4 SPP1
304 COL4A6 SPP1
305 COL4A1 F11
306 COL4A1 F2
307 COL4A1 PLAT
308 COL4A1 PLAU
309 COL4A1 PLG
