V1 V2
1 CHST13 CHST7
2 CHST13 CSGALNACT1
3 CHST7 CSGALNACT1
4 EXTL1 HS3ST1
5 EXTL1 HS3ST2
6 EXTL1 HS3ST3A1
7 EXTL1 HS3ST3B1
8 EXTL1 HS3ST5
9 EXTL1 HS6ST2
10 EXTL1 HS6ST3
11 HS3ST1 HS3ST2
12 HS3ST1 HS3ST3A1
13 HS3ST1 HS3ST3B1
14 HS3ST1 HS3ST5
15 HS3ST1 HS6ST2
16 HS3ST1 HS6ST3
17 HS3ST2 HS3ST3A1
18 HS3ST2 HS3ST3B1
19 HS3ST2 HS3ST5
20 HS3ST2 HS6ST2
21 HS3ST2 HS6ST3
22 HS3ST3A1 HS3ST3B1
23 HS3ST3A1 HS3ST5
24 HS3ST3A1 HS6ST2
25 HS3ST3A1 HS6ST3
26 HS3ST3B1 HS3ST5
27 HS3ST3B1 HS6ST2
28 HS3ST3B1 HS6ST3
29 HS3ST5 HS6ST2
30 HS3ST5 HS6ST3
31 HS6ST2 HS6ST3
32 CEL CYP27B1
33 CEL DHCR24
34 CEL DHCR7
35 CEL SOAT2
36 CEL SQLE
37 CYP27B1 DHCR24
38 CYP27B1 DHCR7
39 CYP27B1 SOAT2
40 CYP27B1 SQLE
41 DHCR24 DHCR7
42 DHCR24 SOAT2
43 DHCR24 SQLE
44 DHCR7 SOAT2
45 DHCR7 SQLE
46 SOAT2 SQLE
47 CRYAB DDIT3
48 CRYAB DERL3
49 CRYAB DNAJB1
50 CRYAB DNAJC5B
51 CRYAB FBXO2
52 CRYAB HSP90AA1
53 CRYAB HSPA1A
54 CRYAB HSPA1B
55 CRYAB HSPA1L
56 CRYAB HSPA2
57 HSPA5 CRYAB
58 CRYAB HSPA6
59 CRYAB HSPH1
60 CRYAB HYOU1
61 CRYAB LMAN1L
62 CRYAB PPP1R15A
63 CRYAB UBQLNL
64 DDIT3 DERL3
65 DDIT3 DNAJB1
66 DDIT3 DNAJC5B
67 DDIT3 FBXO2
68 DDIT3 HSP90AA1
69 DDIT3 HSPA1A
70 DDIT3 HSPA1B
71 DDIT3 HSPA1L
72 DDIT3 HSPA2
73 HSPA5 DDIT3
74 DDIT3 HSPA6
75 DDIT3 HSPH1
76 DDIT3 HYOU1
77 DDIT3 LMAN1L
78 DDIT3 PPP1R15A
79 DDIT3 UBQLNL
80 DERL3 DNAJB1
81 DERL3 DNAJC5B
82 DERL3 FBXO2
83 DERL3 HSP90AA1
84 DERL3 HSPA1A
85 DERL3 HSPA1B
86 DERL3 HSPA1L
87 DERL3 HSPA2
88 HSPA5 DERL3
89 DERL3 HSPA6
90 DERL3 HSPH1
91 DERL3 HYOU1
92 DERL3 LMAN1L
93 DERL3 PPP1R15A
94 DERL3 UBQLNL
95 DNAJB1 DNAJC5B
96 DNAJB1 FBXO2
97 DNAJB1 HSP90AA1
98 DNAJB1 HSPA1A
99 DNAJB1 HSPA1B
100 DNAJB1 HSPA1L
101 DNAJB1 HSPA2
102 HSPA5 DNAJB1
103 DNAJB1 HSPA6
104 DNAJB1 HSPH1
105 DNAJB1 HYOU1
106 DNAJB1 LMAN1L
107 DNAJB1 PPP1R15A
108 DNAJB1 UBQLNL
109 DNAJC5B FBXO2
110 DNAJC5B HSP90AA1
111 DNAJC5B HSPA1A
112 DNAJC5B HSPA1B
113 DNAJC5B HSPA1L
114 DNAJC5B HSPA2
115 HSPA5 DNAJC5B
116 DNAJC5B HSPA6
117 DNAJC5B HSPH1
118 DNAJC5B HYOU1
119 DNAJC5B LMAN1L
120 DNAJC5B PPP1R15A
121 DNAJC5B UBQLNL
122 FBXO2 HSP90AA1
123 FBXO2 HSPA1A
124 FBXO2 HSPA1B
125 FBXO2 HSPA1L
126 FBXO2 HSPA2
127 HSPA5 FBXO2
128 FBXO2 HSPA6
129 FBXO2 HSPH1
130 FBXO2 HYOU1
131 FBXO2 LMAN1L
132 FBXO2 PPP1R15A
133 FBXO2 UBQLNL
134 HSP90AA1 HSPA1A
135 HSP90AA1 HSPA1B
136 HSP90AA1 HSPA1L
137 HSP90AA1 HSPA2
138 HSPA5 HSP90AA1
139 HSP90AA1 HSPA6
140 HSP90AA1 HSPH1
141 HSP90AA1 HYOU1
142 HSP90AA1 LMAN1L
143 HSP90AA1 PPP1R15A
144 HSP90AA1 UBQLNL
145 HSPA1A HSPA1B
146 HSPA1A HSPA1L
147 HSPA1A HSPA2
148 HSPA5 HSPA1A
149 HSPA1A HSPA6
150 HSPA1A HSPH1
151 HSPA1A HYOU1
152 HSPA1A LMAN1L
153 HSPA1A PPP1R15A
154 HSPA1A UBQLNL
155 HSPA1B HSPA1L
156 HSPA1B HSPA2
157 HSPA5 HSPA1B
158 HSPA1B HSPA6
159 HSPA1B HSPH1
160 HSPA1B HYOU1
161 HSPA1B LMAN1L
162 HSPA1B PPP1R15A
163 HSPA1B UBQLNL
164 HSPA1L HSPA2
165 HSPA5 HSPA1L
166 HSPA1L HSPA6
167 HSPA1L HSPH1
168 HSPA1L HYOU1
169 HSPA1L LMAN1L
170 HSPA1L PPP1R15A
171 HSPA1L UBQLNL
172 HSPA5 HSPA2
173 HSPA2 HSPA6
174 HSPA2 HSPH1
175 HSPA2 HYOU1
176 HSPA2 LMAN1L
177 HSPA2 PPP1R15A
178 HSPA2 UBQLNL
179 HSPA5 HSPA6
180 HSPA5 HSPH1
181 HSPA5 HYOU1
182 HSPA5 LMAN1L
183 HSPA5 PPP1R15A
184 HSPA5 UBQLNL
185 HSPA6 HSPH1
186 HSPA6 HYOU1
187 HSPA6 LMAN1L
188 HSPA6 PPP1R15A
189 HSPA6 UBQLNL
190 HSPH1 HYOU1
191 HSPH1 LMAN1L
192 HSPH1 PPP1R15A
193 HSPH1 UBQLNL
194 HYOU1 LMAN1L
195 HYOU1 PPP1R15A
196 HYOU1 UBQLNL
197 LMAN1L PPP1R15A
198 LMAN1L UBQLNL
199 PPP1R15A UBQLNL
200 MGAT3 MGAT4C
201 MGAT3 MGAT5B
202 MGAT3 ST6GAL1
203 MGAT3 ST6GAL2
204 MGAT4C MGAT5B
205 MGAT4C ST6GAL1
206 MGAT4C ST6GAL2
207 MGAT5B ST6GAL1
208 MGAT5B ST6GAL2
209 ST6GAL1 ST6GAL2
210 B3GAT1 COLGALT2
211 B3GAT1 FUT7
212 B3GAT1 FUT9
213 B3GAT1 GXYLT2
214 B3GAT1 LFNG
215 MGAT5B B3GAT1
216 ST6GAL1 B3GAT1
217 ST6GAL2 B3GAT1
218 COLGALT2 FUT7
219 COLGALT2 FUT9
220 COLGALT2 GXYLT2
221 COLGALT2 LFNG
222 MGAT5B COLGALT2
223 ST6GAL1 COLGALT2
224 ST6GAL2 COLGALT2
225 FUT7 FUT9
226 FUT7 GXYLT2
227 FUT7 LFNG
228 MGAT5B FUT7
229 ST6GAL1 FUT7
230 ST6GAL2 FUT7
231 FUT9 GXYLT2
232 FUT9 LFNG
233 MGAT5B FUT9
234 ST6GAL1 FUT9
235 ST6GAL2 FUT9
236 GXYLT2 LFNG
237 MGAT5B GXYLT2
238 ST6GAL1 GXYLT2
239 ST6GAL2 GXYLT2
240 MGAT5B LFNG
241 ST6GAL1 LFNG
242 ST6GAL2 LFNG
243 B3GNT7 CHST1
244 B3GNT7 CHST6
245 CHST1 CHST6
246 ABO B3GALT2
247 ABO B3GALT5
248 ABO B3GNT3
249 ABO B3GNT5
250 ABO FUT1
251 ABO FUT2
252 ABO FUT3
253 FUT7 ABO
254 FUT9 ABO
255 ABO ST3GAL6
256 ABO ST8SIA1
257 B3GALT2 B3GALT5
258 B3GALT2 B3GNT3
259 B3GALT2 B3GNT5
260 B3GALT2 FUT1
261 B3GALT2 FUT2
262 B3GALT2 FUT3
263 FUT7 B3GALT2
264 FUT9 B3GALT2
265 B3GALT2 ST3GAL6
266 B3GALT2 ST8SIA1
267 B3GALT5 B3GNT3
268 B3GALT5 B3GNT5
269 B3GALT5 FUT1
270 B3GALT5 FUT2
271 B3GALT5 FUT3
272 FUT7 B3GALT5
273 FUT9 B3GALT5
274 B3GALT5 ST3GAL6
275 B3GALT5 ST8SIA1
276 B3GNT3 B3GNT5
277 B3GNT3 FUT1
278 B3GNT3 FUT2
279 B3GNT3 FUT3
280 FUT7 B3GNT3
281 FUT9 B3GNT3
282 B3GNT3 ST3GAL6
283 B3GNT3 ST8SIA1
284 B3GNT5 FUT1
285 B3GNT5 FUT2
286 B3GNT5 FUT3
287 FUT7 B3GNT5
288 FUT9 B3GNT5
289 B3GNT5 ST3GAL6
290 B3GNT5 ST8SIA1
291 FUT1 FUT2
292 FUT1 FUT3
293 FUT7 FUT1
294 FUT9 FUT1
295 FUT1 ST3GAL6
296 FUT1 ST8SIA1
297 FUT2 FUT3
298 FUT7 FUT2
299 FUT9 FUT2
300 FUT2 ST3GAL6
301 FUT2 ST8SIA1
302 FUT7 FUT3
303 FUT9 FUT3
304 FUT3 ST3GAL6
305 FUT3 ST8SIA1
306 FUT7 ST3GAL6
307 FUT7 ST8SIA1
308 FUT9 ST3GAL6
309 FUT9 ST8SIA1
310 ST3GAL6 ST8SIA1
311 B3GALT5 A4GALT
312 FUT1 A4GALT
313 FUT2 A4GALT
314 FUT9 A4GALT
315 A4GALT ST8SIA1
316 ST6GALNAC3 ST8SIA1
317 ST6GALNAC3 ST8SIA5
318 ST8SIA1 ST8SIA5
319 GALNT12 GALNT13
320 GALNT12 GALNT14
321 GALNT12 GALNT15
322 GALNT12 GALNT16
323 GALNT12 GALNT3
324 GALNT12 GALNT5
325 GALNT12 GALNT9
326 GALNT12 GALNTL6
327 GALNT12 GCNT4
328 GALNT12 ST6GALNAC1
329 GALNT12 WBSCR17
330 GALNT13 GALNT14
331 GALNT13 GALNT15
332 GALNT13 GALNT16
333 GALNT13 GALNT3
334 GALNT13 GALNT5
335 GALNT13 GALNT9
336 GALNT13 GALNTL6
337 GALNT13 GCNT4
338 GALNT13 ST6GALNAC1
339 GALNT13 WBSCR17
340 GALNT14 GALNT15
341 GALNT14 GALNT16
342 GALNT14 GALNT3
343 GALNT14 GALNT5
344 GALNT14 GALNT9
345 GALNT14 GALNTL6
346 GALNT14 GCNT4
347 GALNT14 ST6GALNAC1
348 GALNT14 WBSCR17
349 GALNT15 GALNT16
350 GALNT15 GALNT3
351 GALNT15 GALNT5
352 GALNT15 GALNT9
353 GALNT15 GALNTL6
354 GALNT15 GCNT4
355 GALNT15 ST6GALNAC1
356 GALNT15 WBSCR17
357 GALNT16 GALNT3
358 GALNT16 GALNT5
359 GALNT16 GALNT9
360 GALNT16 GALNTL6
361 GALNT16 GCNT4
362 GALNT16 ST6GALNAC1
363 GALNT16 WBSCR17
364 GALNT3 GALNT5
365 GALNT3 GALNT9
366 GALNT3 GALNTL6
367 GALNT3 GCNT4
368 GALNT3 ST6GALNAC1
369 GALNT3 WBSCR17
370 GALNT5 GALNT9
371 GALNT5 GALNTL6
372 GALNT5 GCNT4
373 GALNT5 ST6GALNAC1
374 GALNT5 WBSCR17
375 GALNT9 GALNTL6
376 GALNT9 GCNT4
377 GALNT9 ST6GALNAC1
378 GALNT9 WBSCR17
379 GALNTL6 GCNT4
380 GALNTL6 ST6GALNAC1
381 GALNTL6 WBSCR17
382 GCNT4 ST6GALNAC1
383 GCNT4 WBSCR17
384 ST6GALNAC1 WBSCR17
385 CERS3 GAL3ST1
386 CERS3 NEU4
387 CERS3 SGMS2
388 CERS3 SGPP2
389 CERS3 SMPD3
390 CERS3 SPHK1
391 CERS3 UGCG
392 CERS3 UGT8
393 GAL3ST1 NEU4
394 GAL3ST1 SGMS2
395 GAL3ST1 SGPP2
396 GAL3ST1 SMPD3
397 GAL3ST1 SPHK1
398 GAL3ST1 UGCG
399 GAL3ST1 UGT8
400 NEU4 SGMS2
401 NEU4 SGPP2
402 NEU4 SMPD3
403 NEU4 SPHK1
404 NEU4 UGCG
405 NEU4 UGT8
406 SGMS2 SGPP2
407 SGMS2 SMPD3
408 SGMS2 SPHK1
409 SGMS2 UGCG
410 SGMS2 UGT8
411 SGPP2 SMPD3
412 SGPP2 SPHK1
413 SGPP2 UGCG
414 SGPP2 UGT8
415 SMPD3 SPHK1
416 SMPD3 UGCG
417 SMPD3 UGT8
418 SPHK1 UGCG
419 SPHK1 UGT8
420 UGCG UGT8
421 HPSE HPSE2
422 HPSE HYAL2
423 HPSE HYAL4
424 HPSE2 HYAL2
425 HPSE2 HYAL4
426 HYAL2 HYAL4
427 ACP5 AP1M2
428 ACP5 AP3B2
429 ACP5 CD68
430 ACP5 CTSE
431 ACP5 CTSG
432 ACP5 CTSK
433 ACP5 CTSS
434 ACP5 CTSV
435 ACP5 CTSW
436 ACP5 DNASE2B
437 ACP5 LAMP3
438 ACP5 NAPSA
439 ACP5 PSAPL1
440 ACP5 SLC11A1
441 AP1M2 AP3B2
442 AP1M2 CD68
443 AP1M2 CTSE
444 AP1M2 CTSG
445 AP1M2 CTSK
446 AP1M2 CTSS
447 AP1M2 CTSV
448 AP1M2 CTSW
449 AP1M2 DNASE2B
450 AP1M2 LAMP3
451 AP1M2 NAPSA
452 AP1M2 PSAPL1
453 AP1M2 SLC11A1
454 AP3B2 CD68
455 AP3B2 CTSE
456 AP3B2 CTSG
457 AP3B2 CTSK
458 AP3B2 CTSS
459 AP3B2 CTSV
460 AP3B2 CTSW
461 AP3B2 DNASE2B
462 AP3B2 LAMP3
463 AP3B2 NAPSA
464 AP3B2 PSAPL1
465 AP3B2 SLC11A1
466 CD68 CTSE
467 CD68 CTSG
468 CD68 CTSK
469 CD68 CTSS
470 CD68 CTSV
471 CD68 CTSW
472 CD68 DNASE2B
473 CD68 LAMP3
474 CD68 NAPSA
475 CD68 PSAPL1
476 CD68 SLC11A1
477 CTSE CTSG
