V1 V2
1 CHRNA1 RIMS1
2 CHRNA1 SNAP25
3 CHRNA1 SYT1
4 RIMS1 SNAP25
5 RIMS1 SYT1
6 SNAP25 SYT1
7 BMP4 FGF7
8 BMP4 GPC3
9 FGF7 GPC3
10 BIRC3 C4BPA
11 BIRC3 CD40LG
12 BIRC3 JAK3
13 BIRC3 JUN
14 BIRC3 MYC
15 BIRC3 NFKBIA
16 BIRC3 TNFAIP3
17 C4BPA CD40LG
18 C4BPA JAK3
19 C4BPA JUN
20 C4BPA MYC
21 C4BPA NFKBIA
22 C4BPA TNFAIP3
23 CD40LG JAK3
24 CD40LG JUN
25 CD40LG MYC
26 CD40LG NFKBIA
27 CD40LG TNFAIP3
28 JAK3 JUN
29 JAK3 MYC
30 JAK3 NFKBIA
31 JAK3 TNFAIP3
32 JUN MYC
33 JUN NFKBIA
34 JUN TNFAIP3
35 MYC NFKBIA
36 MYC TNFAIP3
37 NFKBIA TNFAIP3
38 CAMK2B GADD45A
39 CAMK2B GADD45B
40 CAMK2B GADD45G
41 CAMK2B MAP2K6
42 GADD45A GADD45B
43 GADD45A GADD45G
44 GADD45A MAP2K6
45 GADD45B GADD45G
46 GADD45B MAP2K6
47 GADD45G MAP2K6
48 BIRC3 CAV1
49 BIRC3 NRK
50 BIRC3 TNF
51 BIRC3 TNIK
52 CAV1 NRK
53 CAV1 TNF
54 TNFAIP3 CAV1
55 CAV1 TNIK
56 NRK TNF
57 TNFAIP3 NRK
58 NRK TNIK
59 TNFAIP3 TNF
60 TNF TNIK
61 TNFAIP3 TNIK
62 BIRC3 EGF
63 BIRC3 SMPD3
64 MYC EGF
65 NFKBIA EGF
66 EGF SMPD3
67 TNF EGF
68 MYC SMPD3
69 MYC TNF
70 NFKBIA SMPD3
71 NFKBIA TNF
72 TNF SMPD3
73 BIRC3 ACTA1
74 ACTA1 FAS
75 ACTA1 FASLG
76 ACTA1 GZMB
77 ACTA1 KRT18
78 ACTA1 LMNB1
79 ACTA1 PRF1
80 ACTA1 TFAP2A
81 TNF ACTA1
82 ACTA1 TNFSF10
83 BIRC3 FAS
84 BIRC3 FASLG
85 BIRC3 GZMB
86 BIRC3 KRT18
87 BIRC3 LMNB1
88 BIRC3 PRF1
89 BIRC3 TFAP2A
90 BIRC3 TNFSF10
91 FAS FASLG
92 FAS GZMB
93 FAS KRT18
94 FAS LMNB1
95 FAS PRF1
96 FAS TFAP2A
97 TNF FAS
98 FAS TNFSF10
99 FASLG GZMB
100 FASLG KRT18
101 FASLG LMNB1
102 FASLG PRF1
103 FASLG TFAP2A
104 TNF FASLG
105 FASLG TNFSF10
106 GZMB KRT18
107 GZMB LMNB1
108 GZMB PRF1
109 GZMB TFAP2A
110 TNF GZMB
111 GZMB TNFSF10
112 KRT18 LMNB1
113 KRT18 PRF1
114 KRT18 TFAP2A
115 TNF KRT18
116 KRT18 TNFSF10
117 LMNB1 PRF1
118 LMNB1 TFAP2A
119 TNF LMNB1
120 LMNB1 TNFSF10
121 PRF1 TFAP2A
122 TNF PRF1
123 PRF1 TNFSF10
124 TNF TFAP2A
125 TFAP2A TNFSF10
126 TNF TNFSF10
127 BIRC3 CD247
128 FAS CD247
129 FASLG CD247
130 NFKBIA CD247
131 TNF CD247
132 NFKBIA FAS
133 NFKBIA FASLG
134 RELB SSPO
135 NFKBIA NOD2
136 NFKBIA SSPO
137 NOD2 SSPO
138 TNF NOD2
139 TNFAIP3 NOD2
140 TNF SSPO
141 TNFAIP3 SSPO
142 CASP1 IL1B
143 CASP1 IL1R1
144 CASP1 IL1R2
145 CASP1 IL1RN
146 CASP1 IRAK3
147 JUN CASP1
148 MAP2K6 CASP1
149 CASP1 PIK3R1
150 IL1B IL1R1
151 IL1B IL1R2
152 IL1B IL1RN
153 IL1B IRAK3
154 JUN IL1B
155 MAP2K6 IL1B
156 IL1B PIK3R1
157 IL1R1 IL1R2
158 IL1R1 IL1RN
159 IL1R1 IRAK3
160 JUN IL1R1
161 MAP2K6 IL1R1
162 IL1R1 PIK3R1
163 IL1R2 IL1RN
164 IL1R2 IRAK3
165 JUN IL1R2
166 MAP2K6 IL1R2
167 IL1R2 PIK3R1
168 IL1RN IRAK3
169 JUN IL1RN
170 MAP2K6 IL1RN
171 IL1RN PIK3R1
172 JUN IRAK3
173 MAP2K6 IRAK3
174 IRAK3 PIK3R1
175 JUN MAP2K6
176 JUN PIK3R1
177 MAP2K6 PIK3R1
178 BDNF BEX1
179 BIRC3 BDNF
180 BDNF MAG
181 BDNF MMP3
182 BDNF MMP7
183 BDNF NGFR
184 BDNF NTF3
185 BDNF NTRK1
186 BDNF OMG
187 PIK3R1 BDNF
188 BDNF PLG
189 BDNF RHOB
190 BDNF RTN4R
191 BIRC3 BEX1
192 BEX1 MAG
193 BEX1 MMP3
194 BEX1 MMP7
195 BEX1 NGFR
196 BEX1 NTF3
197 BEX1 NTRK1
198 BEX1 OMG
199 PIK3R1 BEX1
200 BEX1 PLG
201 BEX1 RHOB
202 BEX1 RTN4R
203 BIRC3 MAG
204 BIRC3 MMP3
205 BIRC3 MMP7
206 BIRC3 NGFR
207 BIRC3 NTF3
208 BIRC3 NTRK1
209 BIRC3 OMG
210 BIRC3 PIK3R1
211 BIRC3 PLG
212 BIRC3 RHOB
213 BIRC3 RTN4R
214 MAG MMP3
215 MAG MMP7
216 MAG NGFR
217 MAG NTF3
218 MAG NTRK1
219 MAG OMG
220 PIK3R1 MAG
221 MAG PLG
222 MAG RHOB
223 MAG RTN4R
224 MMP3 MMP7
225 MMP3 NGFR
226 MMP3 NTF3
227 MMP3 NTRK1
228 MMP3 OMG
229 PIK3R1 MMP3
230 MMP3 PLG
231 MMP3 RHOB
232 MMP3 RTN4R
233 MMP7 NGFR
234 MMP7 NTF3
235 MMP7 NTRK1
236 MMP7 OMG
237 PIK3R1 MMP7
238 MMP7 PLG
239 MMP7 RHOB
240 MMP7 RTN4R
241 NGFR NTF3
242 NGFR NTRK1
243 NGFR OMG
244 PIK3R1 NGFR
245 NGFR PLG
246 NGFR RHOB
247 NGFR RTN4R
248 NTF3 NTRK1
249 NTF3 OMG
250 PIK3R1 NTF3
251 NTF3 PLG
252 NTF3 RHOB
253 NTF3 RTN4R
254 NTRK1 OMG
255 PIK3R1 NTRK1
256 NTRK1 PLG
257 NTRK1 RHOB
258 NTRK1 RTN4R
259 PIK3R1 OMG
260 OMG PLG
261 OMG RHOB
262 OMG RTN4R
263 PIK3R1 PLG
264 PIK3R1 RHOB
265 PIK3R1 RTN4R
266 PLG RHOB
267 PLG RTN4R
268 RHOB RTN4R
269 BGN CD14
270 BGN IRAK2
271 BGN LY96
272 BGN S100A8
273 BGN S100A9
274 BGN SFTPA1
275 BGN TLR1
276 BGN TLR2
277 BGN TLR3
278 BGN TLR4
279 BGN TLR6
280 BGN VCAN
281 CD14 IRAK2
282 CD14 LY96
283 CD14 S100A8
284 CD14 S100A9
285 CD14 SFTPA1
286 CD14 TLR1
287 CD14 TLR2
288 CD14 TLR3
289 CD14 TLR4
290 CD14 TLR6
291 CD14 VCAN
292 IRAK2 LY96
293 IRAK2 S100A8
294 IRAK2 S100A9
295 IRAK2 SFTPA1
296 IRAK2 TLR1
297 IRAK2 TLR2
298 IRAK2 TLR3
299 IRAK2 TLR4
300 IRAK2 TLR6
301 IRAK2 VCAN
302 LY96 S100A8
303 LY96 S100A9
304 LY96 SFTPA1
305 LY96 TLR1
306 LY96 TLR2
307 LY96 TLR3
308 LY96 TLR4
309 LY96 TLR6
310 LY96 VCAN
311 S100A8 S100A9
312 S100A8 SFTPA1
313 S100A8 TLR1
314 S100A8 TLR2
315 S100A8 TLR3
316 S100A8 TLR4
317 S100A8 TLR6
318 S100A8 VCAN
319 S100A9 SFTPA1
320 S100A9 TLR1
321 S100A9 TLR2
322 S100A9 TLR3
323 S100A9 TLR4
324 S100A9 TLR6
325 S100A9 VCAN
326 SFTPA1 TLR1
327 SFTPA1 TLR2
328 SFTPA1 TLR3
329 SFTPA1 TLR4
330 SFTPA1 TLR6
331 SFTPA1 VCAN
332 TLR1 TLR2
333 TLR1 TLR3
334 TLR1 TLR4
335 TLR1 TLR6
336 TLR1 VCAN
337 TLR2 TLR3
338 TLR2 TLR4
339 TLR2 TLR6
340 TLR2 VCAN
341 TLR3 TLR4
342 TLR3 TLR6
343 TLR3 VCAN
344 TLR4 TLR6
345 TLR4 VCAN
346 TLR6 VCAN
347 APOB BLK
348 APOB CTGF
349 APOB FGR
350 APOB HCK
351 APOB ICAM1
352 APOB IL6
353 APOB ITGAM
354 APOB ITGB2
355 APOB JAM2
356 APOB LCK
357 APOB MMP2
358 APOB MMP9
359 APOB MYH2
360 APOB PLAT
361 APOB PLAU
362 APOB PLAUR
363 PLG APOB
364 APOB SELP
365 APOB SELPLG
366 APOB THY1
367 TNF APOB
368 BLK CTGF
369 BLK FGR
370 BLK HCK
371 BLK ICAM1
372 BLK IL6
373 BLK ITGAM
374 BLK ITGB2
375 BLK JAM2
376 BLK LCK
377 BLK MMP2
378 BLK MMP9
379 BLK MYH2
380 BLK PLAT
381 BLK PLAU
382 BLK PLAUR
383 PLG BLK
384 BLK SELP
385 BLK SELPLG
386 BLK THY1
387 TNF BLK
388 CTGF FGR
389 CTGF HCK
390 CTGF ICAM1
391 CTGF IL6
392 CTGF ITGAM
393 CTGF ITGB2
394 CTGF JAM2
395 CTGF LCK
396 CTGF MMP2
397 CTGF MMP9
398 CTGF MYH2
399 CTGF PLAT
400 CTGF PLAU
401 CTGF PLAUR
402 PLG CTGF
403 CTGF SELP
404 CTGF SELPLG
405 CTGF THY1
406 TNF CTGF
407 FGR HCK
408 FGR ICAM1
409 FGR IL6
410 FGR ITGAM
411 FGR ITGB2
412 FGR JAM2
413 FGR LCK
414 FGR MMP2
415 FGR MMP9
416 FGR MYH2
417 FGR PLAT
418 FGR PLAU
419 FGR PLAUR
420 PLG FGR
421 FGR SELP
422 FGR SELPLG
423 FGR THY1
424 TNF FGR
425 HCK ICAM1
426 HCK IL6
427 HCK ITGAM
428 HCK ITGB2
429 HCK JAM2
430 HCK LCK
431 HCK MMP2
432 HCK MMP9
433 HCK MYH2
434 HCK PLAT
435 HCK PLAU
436 HCK PLAUR
437 PLG HCK
438 HCK SELP
439 HCK SELPLG
440 HCK THY1
441 TNF HCK
442 ICAM1 IL6
443 ICAM1 ITGAM
444 ICAM1 ITGB2
445 ICAM1 JAM2
446 ICAM1 LCK
447 ICAM1 MMP2
448 ICAM1 MMP9
449 ICAM1 MYH2
450 ICAM1 PLAT
451 ICAM1 PLAU
452 ICAM1 PLAUR
453 PLG ICAM1
454 ICAM1 SELP
455 ICAM1 SELPLG
456 ICAM1 THY1
457 TNF ICAM1
458 IL6 ITGAM
459 IL6 ITGB2
460 IL6 JAM2
461 IL6 LCK
462 IL6 MMP2
463 IL6 MMP9
464 IL6 MYH2
465 IL6 PLAT
466 IL6 PLAU
467 IL6 PLAUR
468 PLG IL6
469 IL6 SELP
470 IL6 SELPLG
471 IL6 THY1
472 TNF IL6
473 ITGAM ITGB2
474 ITGAM JAM2
475 ITGAM LCK
476 ITGAM MMP2
477 ITGAM MMP9
478 ITGAM MYH2
479 ITGAM PLAT
480 ITGAM PLAU
481 ITGAM PLAUR
482 PLG ITGAM
483 ITGAM SELP
484 ITGAM SELPLG
485 ITGAM THY1
486 TNF ITGAM
487 ITGB2 JAM2
488 ITGB2 LCK
489 ITGB2 MMP2
490 ITGB2 MMP9
491 ITGB2 MYH2
492 ITGB2 PLAT
493 ITGB2 PLAU
494 ITGB2 PLAUR
495 PLG ITGB2
496 ITGB2 SELP
497 ITGB2 SELPLG
498 ITGB2 THY1
499 TNF ITGB2
500 JAM2 LCK
501 JAM2 MMP2
502 JAM2 MMP9
503 JAM2 MYH2
504 JAM2 PLAT
505 JAM2 PLAU
506 JAM2 PLAUR
507 PLG JAM2
508 JAM2 SELP
509 JAM2 SELPLG
510 JAM2 THY1
511 TNF JAM2
512 LCK MMP2
513 LCK MMP9
514 LCK MYH2
515 LCK PLAT
516 LCK PLAU
517 LCK PLAUR
518 PLG LCK
519 LCK SELP
520 LCK SELPLG
521 LCK THY1
522 TNF LCK
523 MMP2 MMP9
524 MMP2 MYH2
525 MMP2 PLAT
526 MMP2 PLAU
527 MMP2 PLAUR
528 PLG MMP2
529 MMP2 SELP
530 MMP2 SELPLG
531 MMP2 THY1
532 TNF MMP2
533 MMP9 MYH2
534 MMP9 PLAT
535 MMP9 PLAU
536 MMP9 PLAUR
537 PLG MMP9
538 MMP9 SELP
539 MMP9 SELPLG
540 MMP9 THY1
541 TNF MMP9
542 MYH2 PLAT
543 MYH2 PLAU
544 MYH2 PLAUR
545 PLG MYH2
546 MYH2 SELP
547 MYH2 SELPLG
548 MYH2 THY1
549 TNF MYH2
550 PLAT PLAU
551 PLAT PLAUR
552 PLG PLAT
553 PLAT SELP
554 PLAT SELPLG
555 PLAT THY1
556 TNF PLAT
557 PLAU PLAUR
558 PLG PLAU
559 PLAU SELP
560 PLAU SELPLG
561 PLAU THY1
562 TNF PLAU
563 PLG PLAUR
564 PLAUR SELP
565 PLAUR SELPLG
566 PLAUR THY1
567 TNF PLAUR
568 PLG SELP
569 PLG SELPLG
570 PLG THY1
571 TNF PLG
572 SELP SELPLG
573 SELP THY1
574 TNF SELP
575 SELPLG THY1
576 TNF SELPLG
577 TNF THY1
578 CD40LG C3
579 C3 CYR61
580 C3 F10
581 C3 FCGR2A
582 C3 FGA
583 C3 FGB
584 C3 FGG
585 C3 GP1BA
586 ICAM1 C3
587 C3 ICAM4
588 C3 ITGAD
589 C3 ITGAL
590 ITGAM C3
591 C3 ITGAX
592 ITGB2 C3
593 C3 KNG1
594 PLAT C3
595 PLAU C3
596 PLAUR C3
597 C3 SPON2
598 C3 TGFBI
599 THY1 C3
600 C3 VCAM1
601 CD40LG CYR61
602 CD40LG F10
603 CD40LG FCGR2A
604 CD40LG FGA
605 CD40LG FGB
606 CD40LG FGG
607 CD40LG GP1BA
608 CD40LG ICAM1
609 CD40LG ICAM4
610 CD40LG ITGAD
611 CD40LG ITGAL
612 CD40LG ITGAM
613 CD40LG ITGAX
614 CD40LG ITGB2
615 CD40LG KNG1
616 CD40LG PLAT
617 CD40LG PLAU
618 CD40LG PLAUR
619 CD40LG SPON2
620 CD40LG TGFBI
621 CD40LG THY1
622 CD40LG VCAM1
623 CYR61 F10
624 CYR61 FCGR2A
625 CYR61 FGA
626 CYR61 FGB
627 CYR61 FGG
628 CYR61 GP1BA
629 ICAM1 CYR61
630 CYR61 ICAM4
631 CYR61 ITGAD
632 CYR61 ITGAL
633 ITGAM CYR61
634 CYR61 ITGAX
635 ITGB2 CYR61
636 CYR61 KNG1
637 PLAT CYR61
638 PLAU CYR61
639 PLAUR CYR61
640 CYR61 SPON2
641 CYR61 TGFBI
642 THY1 CYR61
643 CYR61 VCAM1
644 F10 FCGR2A
645 F10 FGA
646 F10 FGB
647 F10 FGG
648 F10 GP1BA
649 ICAM1 F10
650 F10 ICAM4
651 F10 ITGAD
652 F10 ITGAL
653 ITGAM F10
654 F10 ITGAX
655 ITGB2 F10
656 F10 KNG1
657 PLAT F10
658 PLAU F10
659 PLAUR F10
660 F10 SPON2
661 F10 TGFBI
662 THY1 F10
663 F10 VCAM1
664 FCGR2A FGA
665 FCGR2A FGB
666 FCGR2A FGG
667 FCGR2A GP1BA
668 ICAM1 FCGR2A
669 FCGR2A ICAM4
670 FCGR2A ITGAD
671 FCGR2A ITGAL
672 ITGAM FCGR2A
673 FCGR2A ITGAX
674 ITGB2 FCGR2A
675 FCGR2A KNG1
676 PLAT FCGR2A
677 PLAU FCGR2A
678 PLAUR FCGR2A
679 FCGR2A SPON2
680 FCGR2A TGFBI
681 THY1 FCGR2A
682 FCGR2A VCAM1
683 FGA FGB
684 FGA FGG
685 FGA GP1BA
686 ICAM1 FGA
687 FGA ICAM4
688 FGA ITGAD
689 FGA ITGAL
690 ITGAM FGA
691 FGA ITGAX
692 ITGB2 FGA
693 FGA KNG1
694 PLAT FGA
695 PLAU FGA
696 PLAUR FGA
697 FGA SPON2
698 FGA TGFBI
699 THY1 FGA
700 FGA VCAM1
701 FGB FGG
702 FGB GP1BA
703 ICAM1 FGB
704 FGB ICAM4
705 FGB ITGAD
706 FGB ITGAL
707 ITGAM FGB
708 FGB ITGAX
709 ITGB2 FGB
710 FGB KNG1
711 PLAT FGB
712 PLAU FGB
713 PLAUR FGB
714 FGB SPON2
715 FGB TGFBI
716 THY1 FGB
717 FGB VCAM1
718 FGG GP1BA
719 ICAM1 FGG
720 FGG ICAM4
721 FGG ITGAD
722 FGG ITGAL
723 ITGAM FGG
724 FGG ITGAX
725 ITGB2 FGG
726 FGG KNG1
727 PLAT FGG
728 PLAU FGG
729 PLAUR FGG
730 FGG SPON2
731 FGG TGFBI
732 THY1 FGG
733 FGG VCAM1
734 ICAM1 GP1BA
735 GP1BA ICAM4
736 GP1BA ITGAD
737 GP1BA ITGAL
738 ITGAM GP1BA
739 GP1BA ITGAX
740 ITGB2 GP1BA
741 GP1BA KNG1
742 PLAT GP1BA
743 PLAU GP1BA
744 PLAUR GP1BA
745 GP1BA SPON2
746 GP1BA TGFBI
747 THY1 GP1BA
748 GP1BA VCAM1
749 ICAM1 ICAM4
750 ICAM1 ITGAD
751 ICAM1 ITGAL
752 ICAM1 ITGAX
753 ICAM1 KNG1
754 ICAM1 SPON2
755 ICAM1 TGFBI
756 ICAM1 VCAM1
757 ICAM4 ITGAD
758 ICAM4 ITGAL
759 ITGAM ICAM4
760 ICAM4 ITGAX
761 ITGB2 ICAM4
762 ICAM4 KNG1
763 PLAT ICAM4
764 PLAU ICAM4
765 PLAUR ICAM4
766 ICAM4 SPON2
767 ICAM4 TGFBI
768 THY1 ICAM4
769 ICAM4 VCAM1
770 ITGAD ITGAL
771 ITGAM ITGAD
772 ITGAD ITGAX
773 ITGB2 ITGAD
774 ITGAD KNG1
775 PLAT ITGAD
776 PLAU ITGAD
777 PLAUR ITGAD
778 ITGAD SPON2
779 ITGAD TGFBI
780 THY1 ITGAD
781 ITGAD VCAM1
782 ITGAM ITGAL
783 ITGAL ITGAX
784 ITGB2 ITGAL
785 ITGAL KNG1
786 PLAT ITGAL
787 PLAU ITGAL
788 PLAUR ITGAL
789 ITGAL SPON2
790 ITGAL TGFBI
791 THY1 ITGAL
792 ITGAL VCAM1
793 ITGAM ITGAX
794 ITGAM KNG1
795 ITGAM SPON2
796 ITGAM TGFBI
797 ITGAM VCAM1
798 ITGB2 ITGAX
799 ITGAX KNG1
800 PLAT ITGAX
801 PLAU ITGAX
802 PLAUR ITGAX
803 ITGAX SPON2
