"","smatsscr","smrin","smtspax","sme2mprt","smchmprs","smntrart","smnumgps","smmaprt","smexncrt","sm550nrm","smgnsdtc","smunmprt","sm350nrm","smrdlgth","smmncpb","sme1mmrt","smsflgth","smestlbs","smmppd","smnterrt","smrrnanm","smrdttl","smvqcfl","smmncv","smtrscpt","smmppdpr","smcglgth","smgappct","smunpdrd","smntrnrt","smmpunrt","smexpeff","smmppdun","sme2mmrt","sme2anti","smaltalg","sme2snse","smmflgth","sme1anti","smspltrd","smbsmmrt","sme1snse","sme1pcts","smrrnart","sme1mprt","smnum5cd","smdpmprt","sme2pcts"
"smatsscr",1,-0.396290510892868,0.0708224847912788,-0.0818957462906837,-0.0102454284206033,-0.109871178865433,0.039973046630621,-0.076014019548893,-0.366746753454208,-0.0473661832511425,0.0170656554400921,-0.0346043705940247,0.182648092508316,-0.0287073161453009,-0.198747202754021,0.0212340597063303,-0.0662564858794212,-0.104011937975883,-0.032614778727293,0.110064879059792,0.122983880341053,-0.00160374259576201,0.0740159600973129,-0.0231671016663313,-0.0135740386322141,-0.0340163558721542,0.00716708181425929,-0.00249790214002132,-0.0837776735424995,0.375695705413818,-0.0497180260717869,-0.20835317671299,-0.10589599609375,0.0515446402132511,-0.0329211428761482,0.0690377503633499,-0.0330678671598434,-0.0479629375040531,-0.0268054120242596,-0.149477586150169,0.00544154783710837,-0.0234491974115372,0.166742026805878,0.144196793437004,-0.0520625226199627,-0.0605119615793228,0.0346043705940247,-0.0747186467051506
"smrin",-0.396290510892868,1,-0.0192387439310551,-0.0259002950042486,0.209222003817558,0.0990430116653442,-0.0791177004575729,-0.0220878347754478,0.396269887685776,0.130665108561516,0.0758495926856995,-0.0396792441606522,-0.382689923048019,0.126923263072968,0.350236356258392,-0.0764701887965202,0.223245695233345,0.131083950400352,0.192407816648483,-0.10211269557476,0.0395291857421398,0.208074122667313,0.174756675958633,-0.117857784032822,0.128759101033211,0.191399365663528,-0.0735940113663673,-0.0558536201715469,-0.0334189087152481,-0.411898821592331,-0.0745967552065849,0.169873297214508,0.243398934602737,0.0247177872806787,0.194548398256302,0.146990463137627,0.194528415799141,0.193187206983566,0.206282049417496,0.382186233997345,0.0130695160478354,0.201566487550735,-0.309515506029129,-0.092290036380291,-0.00953316874802113,0.172407999634743,0.0396792441606522,0.054518673568964
"smtspax",0.0708224847912788,-0.0192387439310551,1,-0.115215629339218,0.0138651272282004,-0.166499987244606,0.0628168731927872,-0.116641856729984,-0.123896420001984,-0.0876232609152794,0.0372871048748493,-0.0736208036541939,0.032317478209734,0.134786322712898,-0.0882170796394348,-0.0758450105786324,-0.0303234159946442,-0.0771765783429146,-0.015717264264822,0.167734503746033,0.0359713993966579,0.0380075611174107,0.00270505575463176,0.0896663814783096,0.00604861089959741,-0.0159082468599081,0.0553437918424606,0.0374426729977131,-0.0132852597162127,0.105016693472862,-0.120031371712685,-0.11547289788723,-0.0775739178061485,0.0900197774171829,-0.0212227758020163,-0.00115651066880673,-0.0202920380979776,-0.0214159581810236,-0.0135501809418201,-0.0571253262460232,0.00609731581062078,-0.0144111551344395,-0.033531665802002,-0.00741734215989709,-0.115747563540936,-0.061279371380806,0.0736208036541939,0.0550276413559914
"sme2mprt",-0.0818957462906837,-0.0259002950042486,-0.115215629339218,1,-0.060374490916729,0.235579207539558,-0.229985073208809,0.989819586277008,0.0892849266529083,0.242685601115227,-0.0756598860025406,0.476288348436356,0.0270295608788729,-0.10001614689827,0.207360550761223,-0.119120791554451,0.15282116830349,0.395280599594116,-0.0355608947575092,-0.235219210386276,-0.205079391598701,-0.376942038536072,-0.463694959878922,-0.158113479614258,-0.0332262851297855,0.0324304923415184,-0.251594930887222,-0.252980262041092,-0.206743225455284,-0.0591253340244293,0.797762811183929,0.734020948410034,0.210005342960358,-0.839100003242493,0.0478884056210518,-0.291023701429367,0.0360783562064171,0.131543859839439,-0.0503079853951931,-0.00377347436733544,-0.623354971408844,-0.0408094823360443,0.264290779829025,0.0164459608495235,0.95013552904129,0.333921909332275,-0.476288348436356,-0.568985283374786
"smchmprs",-0.0102454284206033,0.209222003817558,0.0138651272282004,-0.060374490916729,1,-0.0209163427352905,-0.569401204586029,-0.0567669123411179,0.222590312361717,0.00194020452909172,0.734947860240936,-0.497365087270737,0.0286277215927839,-0.134785711765289,0.716570854187012,0.0478067398071289,0.812754690647125,0.102524682879448,0.903463304042816,0.0216308273375034,0.561292231082916,0.820270359516144,0.314517110586166,-0.0324392803013325,0.692072033882141,0.885568201541901,-0.491833925247192,-0.479968428611755,0.14666123688221,-0.241535320878029,-0.294907063245773,0.148313581943512,0.722419679164886,0.143573671579361,0.877183377742767,0.791535675525665,0.88115131855011,0.810632884502411,0.90208888053894,0.843712091445923,0.0866448879241943,0.900155246257782,0.0233198069036007,0.149433463811874,-0.0653630644083023,0.439156383275986,0.497365087270737,0.0246011931449175
"smntrart",-0.109871178865433,0.0990430116653442,-0.166499987244606,0.235579207539558,-0.0209163427352905,1,-0.00740907993167639,0.244852125644684,0.414119035005569,0.190565943717957,-0.241774395108223,0.194842606782913,-0.263963013887405,-0.106884211301804,0.272292584180832,-0.0548585690557957,0.199113577604294,0.281472474336624,0.0692291930317879,-0.999682486057281,-0.349262446165085,-0.0435689054429531,-0.0738654658198357,-0.0847892835736275,-0.162685349583626,0.0854806900024414,0.0133133661001921,0.0415832921862602,-0.00145837944000959,-0.299836307764053,0.277411878108978,0.388256222009659,0.184940159320831,-0.255531311035156,0.107353955507278,-0.135751321911812,0.10487724840641,0.145588785409927,0.084862157702446,0.230315238237381,-0.182549148797989,0.0828256383538246,0.0296450648456812,-0.387661874294281,0.262471079826355,0.118203550577164,-0.194842606782913,-0.119791693985462
"smnumgps",0.039973046630621,-0.0791177004575729,0.0628168731927872,-0.229985073208809,-0.569401204586029,-0.00740907993167639,1,-0.242534652352333,0.0415570959448814,-0.244129747152328,-0.692856669425964,-0.0449924618005753,-0.0227996483445168,0.0532288737595081,-0.7310431599617,-0.14159981906414,-0.570215344429016,-0.552177131175995,-0.633740186691284,0.00876612309366465,-0.247806265950203,-0.442122220993042,-0.041491910815239,0.414416074752808,-0.688060820102692,-0.63886421918869,0.921239376068115,0.893504798412323,-0.0981208980083466,-0.0440296605229378,-0.207141116261482,-0.202258795499802,-0.816953301429749,0.224454909563065,-0.643453896045685,-0.444032430648804,-0.635930776596069,-0.559962451457977,-0.624976634979248,-0.561246693134308,0.138521879911423,-0.626810669898987,-0.0866537466645241,-0.0373729877173901,-0.242609545588493,-0.796073973178864,0.0449924618005753,0.325281709432602
"smmaprt",-0.076014019548893,-0.0220878347754478,-0.116641856729984,0.989819586277008,-0.0567669123411179,0.244852125644684,-0.242534652352333,1,0.107582837343216,0.246817961335182,-0.0679739415645599,0.487029790878296,0.0207574050873518,-0.104308687150478,0.225916996598244,-0.134840548038483,0.165799513459206,0.418403387069702,-0.0272800512611866,-0.244695022702217,-0.213266491889954,-0.371102750301361,-0.415492326021194,-0.169358104467392,-0.0235010907053947,0.0382364578545094,-0.261887401342392,-0.263251096010208,-0.167957380414009,-0.0757829695940018,0.810152590274811,0.750731706619263,0.22623048722744,-0.836969375610352,0.0530183389782906,-0.279112577438354,0.0417305082082748,0.142992407083511,-0.0396965555846691,0.00868111476302147,-0.631987750530243,-0.0302280783653259,0.272208333015442,0.00604034215211868,0.977979183197021,0.34530583024025,-0.487029790878296,-0.550866842269897
"smexncrt",-0.366746753454208,0.396269887685776,-0.123896420001984,0.0892849266529083,0.222590312361717,0.414119035005569,0.0415570959448814,0.107582837343216,1,0.0101218027994037,-0.0398749820888042,-0.111244983971119,-0.236414179205894,-0.128776162862778,0.446875095367432,0.0641736015677452,0.33498552441597,0.0544084906578064,0.192254558205605,-0.414477556943893,0.0103323766961694,0.122887670993805,0.101392351090908,0.223322004079819,0.038226030766964,0.192074745893478,0.0836450681090355,0.111530996859074,0.0364940166473389,-0.987791121006012,-0.0205988343805075,0.628231108188629,0.201357558369637,0.00887557491660118,0.189919948577881,0.107441112399101,0.194778874516487,0.266390919685364,0.205412656068802,0.461975961923599,0.0622722133994102,0.200469121336937,-0.113867446780205,-0.057189155369997,0.124062120914459,0.0978918820619583,0.111244983971119,0.104085855185986
"sm550nrm",-0.0473661832511425,0.130665108561516,-0.0876232609152794,0.242685601115227,0.00194020452909172,0.190565943717957,-0.244129747152328,0.246817961335182,0.0101218027994037,1,0.0192665848881006,0.290674358606339,-0.355100631713867,0.00643880805000663,0.168259456753731,0.062454953789711,0.0466429032385349,0.362157225608826,0.0462979376316071,-0.194492504000664,-0.183377891778946,-0.0449762679636478,-0.0257869958877563,-0.396216630935669,0.0758617222309113,0.0501944608986378,-0.251804053783417,-0.197942599654198,-0.00446180161088705,0.0153773473575711,0.316666424274445,0.178198516368866,0.185015961527824,-0.258218586444855,0.0704853087663651,-0.0623923316597939,0.0640307739377022,0.0236705597490072,0.0552430935204029,0.130968928337097,-0.151905417442322,0.0590909086167812,0.123430773615837,-0.17052449285984,0.252137959003448,0.411194115877151,-0.290674358606339,-0.279410690069199
