"","smatsscr","smrin","smtspax","sme2mprt","smchmprs","smntrart","smnumgps","smmaprt","smexncrt","sm550nrm","smgnsdtc","smunmprt","sm350nrm","smrdlgth","smmncpb","sme1mmrt","smsflgth","smestlbs","smmppd","smnterrt","smrrnanm","smrdttl","smvqcfl","smmncv","smtrscpt","smmppdpr","smcglgth","smgappct","smunpdrd","smntrnrt","smmpunrt","smexpeff","smmppdun","sme2mmrt","sme2anti","smaltalg","sme2snse","smmflgth","sme1anti","smspltrd","smbsmmrt","sme1snse","sme1pcts","smrrnart","sme1mprt","smnum5cd","smdpmprt","sme2pcts"
"smatsscr",1,0.00204305932857096,0.0461709834635258,-0.113150551915169,0.0470248162746429,-0.179790735244751,0.0387275740504265,-0.119993381202221,-0.129032850265503,-0.105477780103683,0.058924350887537,0.0155266858637333,0.0783854722976685,-0.0479047000408173,-0.0410703793168068,0.0387513935565948,-0.0455907620489597,-0.00917841680347919,-0.00394550152122974,0.179552108049393,0.0062302490696311,0.0573933757841587,0.0221159234642982,0.0386127084493637,0.0445167012512684,-0.0138706006109715,0.00859661679714918,-0.00570897245779634,0.019421424716711,0.103764370083809,-0.074150413274765,-0.124216511845589,-0.0106978928670287,0.0656940340995789,-0.0251891147345304,0.0118448054417968,-0.0201036166399717,-0.0434120297431946,-0.00972710177302361,-0.0151881882920861,0.0891876369714737,-0.0170789305120707,-0.136942014098167,-0.00788884237408638,-0.122341938316822,-0.0837766602635384,-0.0155266858637333,0.0904855132102966
"smrin",0.00204305932857096,1,-0.0866396278142929,0.100437268614769,-0.0174786448478699,0.118062429130077,0.0335207805037498,0.10223700851202,0.159789949655533,0.1195382848382,-0.111577846109867,0.039093866944313,-0.0800561979413033,-0.0629305392503738,0.101642236113548,0.0560972653329372,0.0224804859608412,0.0475263893604279,0.0366161093115807,-0.119737349450588,-0.0992989018559456,0.0439642481505871,-0.0150660583749413,-0.121274374425411,-0.0712496787309647,0.0363745540380478,0.0582665242254734,0.0778227150440216,-0.0326322801411152,-0.169140294194221,0.0302968565374613,0.158782914280891,0.0522927418351173,-0.0197335984557867,0.0348393470048904,0.00182900228537619,0.0334053747355938,0.0169874150305986,0.0394434556365013,0.109279103577137,0.0596909336745739,0.0389346443116665,-0.0283380448818207,-0.126947477459908,0.0952448099851608,0.00381519366055727,-0.039093866944313,-0.0402223244309425
"smtspax",0.0461709834635258,-0.0866396278142929,1,-0.185557067394257,0.00310949189588428,-0.126496344804764,-0.0225131791085005,-0.193398341536522,-0.173631280660629,-0.0689804777503014,0.0724010169506073,-0.143765091896057,-0.00272967270575464,0.0814855396747589,-0.0987766310572624,0.0360121168196201,-0.0691247805953026,-0.126262918114662,0.0165044404566288,0.127000898122787,0.0776323974132538,0.093237966299057,0.0979283899068832,0.007935905829072,0.0505632124841213,0.00117545493412763,-0.0292222369462252,-0.031022697687149,-0.0519343167543411,0.178750962018967,-0.197452664375305,-0.221289962530136,-0.0699496045708656,0.188153460621834,-0.0104952519759536,0.0587150156497955,-0.0024435818195343,-0.0521041490137577,0.0209570731967688,-0.00506511190906167,0.149704784154892,0.0139789786189795,-0.0986296236515045,0.0253619737923145,-0.191061764955521,-0.0304000955075026,0.143765091896057,0.16179047524929
"sme2mprt",-0.113150551915169,0.100437268614769,-0.185557067394257,1,0.0170270465314388,0.417914211750031,-0.240331679582596,0.990900993347168,0.285780519247055,0.22082394361496,0.00996446702629328,0.187982276082039,-0.158922031521797,-0.0616487041115761,0.300884336233139,-0.186106353998184,0.306184083223343,0.302126348018646,0.101873621344566,-0.417639523744583,-0.14001838862896,-0.247727230191231,-0.492709100246429,-0.103552274405956,0.0763177052140236,0.15610808134079,-0.193895980715752,-0.190959692001343,-0.134437248110771,-0.21674382686615,0.644106566905975,0.857764363288879,0.258922666311264,-0.853008210659027,0.187119260430336,-0.0728669613599777,0.171847462654114,0.287605375051498,0.0995953157544136,0.124376364052296,-0.688974976539612,0.112499907612801,0.354278445243835,-0.00615926459431648,0.952562093734741,0.335306167602539,-0.187982276082039,-0.526027977466583
"smchmprs",0.0470248162746429,-0.0174786448478699,0.00310949189588428,0.0170270465314388,1,-0.285597592592239,-0.668651700019836,0.0134955635294318,-0.249512583017349,0.141879364848137,0.760432958602905,-0.0367600582540035,0.266085565090179,-0.0830409973859787,0.640549719333649,-0.0202118381857872,0.64500105381012,0.608068466186523,0.675093591213226,0.285524845123291,0.374206900596619,0.61574798822403,0.167367532849312,-0.195080563426018,0.701772153377533,0.665036141872406,-0.641624867916107,-0.639637053012848,0.0762748941779137,0.223530739545822,0.127977728843689,-0.0718341395258904,0.728486895561218,-0.000336953293299302,0.652339398860931,0.693407952785492,0.657207787036896,0.607757389545441,0.674960732460022,0.583539307117462,-0.0384571254253387,0.670633435249329,0.00215604831464589,0.0320016592741013,-0.00214948272332549,0.520479738712311,0.0367600582540035,0.0723210424184799
"smntrart",-0.179790735244751,0.118062429130077,-0.126496344804764,0.417914211750031,-0.285597592592239,1,0.0778139382600784,0.43121936917305,0.751799404621124,0.179764837026596,-0.272093027830124,-0.121031887829304,-0.32428240776062,-0.0013613278279081,0.193628296256065,-0.0822790116071701,0.190015196800232,-0.0449079126119614,0.0937292352318764,-0.999919712543488,-0.230311006307602,-0.0958996191620827,-0.144953683018684,-0.0185330342501402,-0.176181852817535,0.115212745964527,0.147911936044693,0.169426679611206,-0.082062192261219,-0.594954252243042,0.179564401507378,0.654330015182495,0.0703343376517296,-0.358994722366333,0.154728263616562,-0.102979943156242,0.140950545668602,0.196131929755211,0.117546886205673,0.178138867020607,-0.328039228916168,0.131241008639336,0.378875106573105,-0.219235017895699,0.446497350931168,0.0344852581620216,0.121031887829304,-0.465353906154633
"smnumgps",0.0387275740504265,0.0335207805037498,-0.0225131791085005,-0.240331679582596,-0.668651700019836,0.0778139382600784,1,-0.240368500351906,0.23522025346756,-0.24068757891655,-0.739773035049438,-0.128876745700836,-0.182614237070084,0.0233373641967773,-0.695565462112427,-0.0236068200320005,-0.603206157684326,-0.72516530752182,-0.582362055778503,-0.0771933048963547,-0.241065129637718,-0.414243340492249,-0.0300839561969042,0.326532661914825,-0.731783509254456,-0.586297035217285,0.904474914073944,0.868547856807709,-0.0914039760828018,-0.266662836074829,-0.376781642436981,-0.108007475733757,-0.78681606054306,0.221030294895172,-0.592734694480896,-0.495798915624619,-0.588386118412018,-0.554702162742615,-0.582576632499695,-0.537978112697601,0.214997887611389,-0.582975804805756,-0.127822816371918,-0.0305369831621647,-0.228506311774254,-0.809701025485992,0.128876745700836,0.201135754585266
"smmaprt",-0.119993381202221,0.10223700851202,-0.193398341536522,0.990900993347168,0.0134955635294318,0.43121936917305,-0.240368500351906,1,0.296255886554718,0.238545194268227,0.00399522017687559,0.190063014626503,-0.164445951581001,-0.0635934621095657,0.300378561019897,-0.219546005129814,0.309829205274582,0.302859574556351,0.100114367902279,-0.43088099360466,-0.14336197078228,-0.25092214345932,-0.447901159524918,-0.106254689395428,0.0709576979279518,0.152423247694969,-0.193151220679283,-0.19077479839325,-0.0973814651370049,-0.224135220050812,0.648034393787384,0.869462549686432,0.257210373878479,-0.861500203609467,0.183707311749458,-0.0659122169017792,0.167701840400696,0.291538536548615,0.0982112810015678,0.124135479331017,-0.710576236248016,0.112403765320778,0.389411091804504,-0.00866856705397367,0.979244709014893,0.339493215084076,-0.190063014626503,-0.547758102416992
"smexncrt",-0.129032850265503,0.159789949655533,-0.173631280660629,0.285780519247055,-0.249512583017349,0.751799404621124,0.23522025346756,0.296255886554718,1,0.0930474773049355,-0.361619591712952,-0.284024596214294,-0.313974887132645,-0.0503691323101521,0.2690569460392,-0.0184969622641802,0.24616976082325,-0.143984094262123,0.172645434737206,-0.750922322273254,-0.0159450210630894,0.0577406622469425,-0.0477659404277802,0.0909098461270332,-0.291675359010696,0.185560435056686,0.33568999171257,0.373548984527588,-0.0419697016477585,-0.967134773731232,-0.0530963651835918,0.643440663814545,0.090421587228775,-0.213141858577728,0.209740623831749,0.0268712136894464,0.200845971703529,0.261693716049194,0.189633160829544,0.2405776232481,-0.188576638698578,0.199520647525787,0.236270219087601,-0.047138899564743,0.300197601318359,-0.104356564581394,0.284024596214294,-0.268520683050156
"sm550nrm",-0.105477780103683,0.1195382848382,-0.0689804777503014,0.22082394361496,0.141879364848137,0.179764837026596,-0.24068757891655,0.238545194268227,0.0930474773049355,1,0.106080524623394,0.170901119709015,-0.129138231277466,-0.0764288380742073,0.19172702729702,-0.0989899337291718,0.157851099967957,0.272592484951019,0.101760871708393,-0.182341232895851,-0.141364097595215,0.0120262512937188,-0.0678180158138275,-0.217588737607002,0.149544805288315,0.108674868941307,-0.211055546998978,-0.165828332304955,-0.00890244264155626,-0.0490004047751427,0.297726571559906,0.22688427567482,0.194956794381142,-0.188098192214966,0.121926754713058,0.0463532246649265,0.118125557899475,0.130633309483528,0.110520452260971,0.145769312977791,-0.194137692451477,0.114479064941406,0.136506542563438,-0.193622574210167,0.254836976528168,0.352588653564453,-0.170901119709015,-0.168532714247704
