"","smatsscr","smrin","smtspax","sme2mprt","smchmprs","smntrart","smnumgps","smmaprt","smexncrt","sm550nrm","smgnsdtc","smunmprt","sm350nrm","smmncpb","sme1mmrt","smsflgth","smestlbs","smmppd","smnterrt","smrrnanm","smrdttl","smvqcfl","smmncv","smtrscpt","smmppdpr","smcglgth","smgappct","smunpdrd","smntrnrt","smmpunrt","smexpeff","smmppdun","sme2mmrt","sme2anti","smaltalg","sme2snse","smmflgth","sme1anti","smspltrd","smbsmmrt","sme1snse","sme1pcts","smrrnart","sme1mprt","smnum5cd","smdpmprt","sme2pcts"
"smatsscr",1,-0.237706854939461,-0.0267087854444981,0.0243924874812365,0.0355562679469585,0.086164154112339,-0.00231289677321911,0.0382292047142982,0.109770461916924,-0.154874190688133,0.0028058688621968,0.0701199620962143,0.183166772127151,0.0471839681267738,0.0154694253578782,0.0475965514779091,0.0564522445201874,-0.0164219848811626,-0.0868613570928574,0.0126373255625367,-0.0931377187371254,0.00273240637034178,0.182043045759201,0.052249152213335,-0.0130844181403518,0.0535618811845779,0.0631899014115334,0.0768962651491165,-0.0945815369486809,0.0815423727035522,0.133708864450455,0.0224967692047358,-0.121440142393112,-0.010344360023737,-0.0393031015992165,-0.0135588403791189,0.0278781894594431,-0.0318960025906563,0.00567294610664248,-0.070953369140625,-0.0268957726657391,0.130457431077957,0.0525116994976997,0.0520147606730461,-0.0483598634600639,-0.0701199620962143,-0.0754697769880295
"smrin",-0.237706854939461,1,0.0089082969352603,-0.0846038162708282,0.0724480599164963,0.0583122409880161,-0.010603697039187,-0.0680843070149422,0.12450348585844,0.239852383732796,-0.00242702080868185,-0.0443813316524029,-0.384423166513443,0.115259051322937,-0.0304529182612896,0.0768645480275154,0.0371741652488708,0.0920847803354263,-0.0607990622520447,-0.0618844516575336,0.150338381528854,0.205844536423683,-0.290268987417221,0.0082207228988409,0.0831109434366226,0.00971163716167212,0.0321841202676296,0.0554555654525757,-0.120787784457207,-0.0772069916129112,0.0161109548062086,0.0652101337909698,0.155755698680878,0.0837168246507645,0.0881437659263611,0.0864897444844246,0.0466563850641251,0.110166870057583,0.235426872968674,0.0989158302545547,0.10642746090889,-0.198573380708694,-0.131670013070107,-0.041808232665062,0.0349645204842091,0.0443813316524029,0.121202938258648
"smtspax",-0.0267087854444981,0.0089082969352603,1,-0.146938428282738,-0.0352950058877468,-0.0661294087767601,0.105780020356178,-0.140750542283058,-0.0792564004659653,-0.150058999657631,-0.0276987422257662,-0.115190967917442,0.0208872724324465,-0.140350818634033,-0.0194062236696482,-0.0850153788924217,-0.174857929348946,-0.058288112282753,0.0663918554782867,0.0105156591162086,0.0287533178925514,0.149543896317482,0.0588183589279652,-0.0287165623158216,-0.0669972375035286,0.0955079719424248,0.102437533438206,-0.0584625639021397,0.0802695229649544,-0.164079457521439,-0.094458781182766,-0.142293378710747,0.147632122039795,-0.0715377852320671,-0.0051662209443748,-0.0716494247317314,-0.0719633102416992,-0.0526671409606934,-0.0895234942436218,0.106264613568783,-0.0576472990214825,-0.106076054275036,-0.0122718000784516,-0.12280560284853,-0.148700460791588,0.115190967917442,0.130417570471764
"sme2mprt",0.0243924874812365,-0.0846038162708282,-0.146938428282738,1,-0.0713128447532654,0.318731248378754,-0.220706015825272,0.988440454006195,0.146445617079735,0.20954418182373,-0.163632318377495,0.419094413518906,-0.0173423048108816,0.231047928333282,-0.239286407828331,0.241595476865768,0.324257999658585,-0.0202758964151144,-0.316867053508759,-0.21000924706459,-0.391114175319672,-0.584931373596191,-0.198908060789108,-0.0839173793792725,0.059444934129715,-0.27356544137001,-0.272132098674774,-0.220661416649818,-0.0977386608719826,0.736320793628693,0.733081996440887,0.199434369802475,-0.845229387283325,0.0842130929231644,-0.306953430175781,0.072124756872654,0.207425624132156,-0.0494501367211342,0.0386081710457802,-0.676663935184479,-0.0353861339390278,0.325729429721832,-0.0268738064914942,0.934267342090607,0.36384528875351,-0.419094413518906,-0.4950932264328
"smchmprs",0.0355562679469585,0.0724480599164963,-0.0352950058877468,-0.0713128447532654,1,-0.0451583676040173,-0.458455622196198,-0.0777743682265282,0.136207610368729,-0.0761565789580345,0.742190361022949,-0.42407813668251,0.0914514660835266,0.661866784095764,0.0725219994783401,0.762565612792969,0.14551405608654,0.853080868721008,0.0456074140965939,0.451506942510605,0.795319557189941,0.204442098736763,-0.0618581771850586,0.715503633022308,0.825671255588531,-0.356300741434097,-0.372714996337891,0.148319244384766,-0.159475326538086,-0.263976782560349,0.100526079535484,0.664473116397858,0.11970642209053,0.814461827278137,0.815738081932068,0.815377354621887,0.746107399463654,0.855958163738251,0.816115379333496,0.0509618073701859,0.848042130470276,0.0667233616113663,0.117162764072418,-0.0983472540974617,0.252042472362518,0.42407813668251,-0.0698531717061996
"smntrart",0.086164154112339,0.0583122409880161,-0.0661294087767601,0.318731248378754,-0.0451583676040173,1,-0.0832652077078819,0.325695246458054,0.595462083816528,0.221167087554932,-0.188890695571899,0.202316671609879,-0.194176480174065,0.31954425573349,-0.0213894359767437,0.248777687549591,0.261463552713394,0.0832309499382973,-0.999811947345734,-0.497142255306244,-0.105484299361706,-0.146058887243271,-0.128376692533493,-0.0390358716249466,0.113599926233292,-0.029775707051158,0.0296888146549463,-0.143983408808708,-0.47697925567627,0.296933025121689,0.58806437253952,0.187559694051743,-0.294822722673416,0.148738220334053,-0.205217152833939,0.143692925572395,0.196434915065765,0.105344705283642,0.305900096893311,-0.206591352820396,0.112770199775696,0.154564797878265,-0.523989737033844,0.340607136487961,0.127526596188545,-0.202316671609879,-0.168516993522644
"smnumgps",-0.00231289677321911,-0.010603697039187,0.105780020356178,-0.220706015825272,-0.458455622196198,-0.0832652077078819,1,-0.215192183852196,0.112344473600388,-0.308992922306061,-0.514663696289062,-0.16755422949791,0.0149489818140864,-0.731813669204712,-0.143104046583176,-0.50605320930481,-0.633425712585449,-0.59233558177948,0.0818056836724281,-0.198828384280205,-0.38900825381279,0.057236559689045,0.456535816192627,-0.507051348686218,-0.601461946964264,0.900536477565765,0.855633974075317,-0.081108994781971,-0.136774718761444,-0.271808058023453,-0.132958278059959,-0.819441974163055,0.161303773522377,-0.607211887836456,-0.455956667661667,-0.603569746017456,-0.510366380214691,-0.578879952430725,-0.49784255027771,0.133631333708763,-0.583958923816681,-0.104564167559147,-0.0602513924241066,-0.216736987233162,-0.754074394702911,0.16755422949791,0.289963096380234
"smmaprt",0.0382292047142982,-0.0680843070149422,-0.140750542283058,0.988440454006195,-0.0777743682265282,0.325695246458054,-0.215192183852196,1,0.158864051103592,0.21874663233757,-0.169572874903679,0.432747483253479,-0.0222544148564339,0.229692593216896,-0.276510387659073,0.241005003452301,0.33460995554924,-0.0293679647147655,-0.323743790388107,-0.227074861526489,-0.40380933880806,-0.526370644569397,-0.205937922000885,-0.0866033062338829,0.0488397739827633,-0.269548922777176,-0.267007738351822,-0.200886934995651,-0.110209807753563,0.751680254936218,0.74458384513855,0.197462603449821,-0.855631172657013,0.0727721527218819,-0.309410214424133,0.0612051598727703,0.20551073551178,-0.0568047724664211,0.0352558009326458,-0.701234817504883,-0.0425965450704098,0.32346174120903,-0.0391366295516491,0.972723066806793,0.36991748213768,-0.432747483253479,-0.469184815883636
"smexncrt",0.109770461916924,0.12450348585844,-0.0792564004659653,0.146445617079735,0.136207610368729,0.595462083816528,0.112344473600388,0.158864051103592,1,-0.010036101564765,-0.181096434593201,-0.127788215875626,-0.180838569998741,0.353946447372437,0.0465956032276154,0.313829660415649,-0.0443727970123291,0.0991513282060623,-0.597986876964569,-0.11029064655304,0.0194582790136337,-0.01821618527174,0.139054134488106,-0.0411007441580296,0.107884086668491,0.164262443780899,0.204155251383781,-0.0235053207725286,-0.986396789550781,-0.0390030927956104,0.674540519714355,0.104500740766525,-0.0980726927518845,0.116505742073059,0.0295517146587372,0.116141803562641,0.218974739313126,0.114587761461735,0.41822338104248,-0.0379611290991306,0.118358202278614,0.115744031965733,-0.132871970534325,0.167479291558266,-0.00128200813196599,0.127788215875626,-0.0421058312058449
"sm550nrm",-0.154874190688133,0.239852383732796,-0.150058999657631,0.20954418182373,-0.0761565789580345,0.221167087554932,-0.308992922306061,0.21874663233757,-0.010036101564765,1,-0.0338554605841637,0.373322129249573,-0.304474234580994,0.184314146637917,-0.0167476087808609,0.0406916737556458,0.394380390644073,-0.00169577111955732,-0.222009271383286,-0.252072721719742,-0.12422538548708,-0.0886216685175896,-0.41142663359642,0.0101527310907841,0.0172198042273521,-0.354341059923172,-0.292578220367432,-0.0516563579440117,0.0567239336669445,0.369252920150757,0.155149877071381,0.181156933307648,-0.148229345679283,0.03229870647192,-0.0890717878937721,0.0293722376227379,-0.00824641995131969,0.000528459553606808,0.101209975779057,-0.140560269355774,0.00454176077619195,0.00311627332121134,-0.230257019400597,0.237930357456207,0.438836425542831,-0.373322129249573,-0.160371795296669
