"","module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"GO:0016021","1",94,92,1,3.87948730348437e-15,6.43257789790743e-11,65,0.706521739130435,0.128968253968254,504,"GO:0016021","CC","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"GO:0031224","1",94,92,2,9.79188064375747e-15,1.62359172954143e-10,66,0.717391304347826,0.125,528,"GO:0031224","CC","intrinsic component of membrane","The component of a membrane consisting of the gene products having some covalently attached portion, for example part of a peptide sequence or some other covalently attached group such as a GPI anchor, which spans or is embedded in one or both leaflets of the membrane."
"GO:0016020","1",94,92,3,1.33247795647452e-11,2.2093816996304e-07,77,0.83695652173913,0.095771144278607,804,"GO:0016020","CC","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"GO:0006955","1",94,92,4,2.83941593125576e-10,4.70803555561518e-06,45,0.489130434782609,0.138888888888889,324,"GO:0006955","BP","immune response","Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."
"GO:0002682","1",94,92,5,7.08947949502898e-10,1.17550659507075e-05,39,0.423913043478261,0.151162790697674,258,"GO:0002682","BP","regulation of immune system process","Any process that modulates the frequency, rate, or extent of an immune system process."
"GO:0050776","1",94,92,6,1.08756723362281e-09,1.80329523006999e-05,32,0.347826086956522,0.174863387978142,183,"GO:0050776","BP","regulation of immune response","Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."
"GO:0004872","1",94,92,7,6.30736734397487e-08,0.00104582457930447,31,0.33695652173913,0.153465346534653,202,"GO:0004872","MF","receptor activity","Combining with an extracellular or intracellular messenger to initiate a change in cell activity."
"GO:0002376","1",94,92,8,1.00525953286874e-07,0.00166682083144965,48,0.521739130434783,0.112676056338028,426,"GO:0002376","BP","immune system process","Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."
"GO:0006952","1",94,92,9,1.92704103166807e-07,0.00319522673460883,38,0.41304347826087,0.127946127946128,297,"GO:0006952","BP","defense response","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"GO:0005886","1",94,92,10,3.41696271599887e-07,0.00566566587939773,57,0.619565217391304,0.0982758620689655,580,"GO:0005886","CC","plasma membrane","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"GO:0003012","2",92,91,1,1.08120437215417e-07,0.00179274496946884,20,0.21978021978022,0.210526315789474,95,"GO:0003012","BP","muscle system process","A organ system process carried out at the level of a muscle. Muscle tissue is composed of contractile cells or fibers."
"GO:0006936","2",92,91,2,1.2788281468596e-07,0.00212042495030791,19,0.208791208791209,0.218390804597701,87,"GO:0006936","BP","muscle contraction","A process in which force is generated within muscle tissue, resulting in a change in muscle geometry. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis."
"GO:0005925","2",92,91,3,3.95173772070445e-06,0.0655237631470004,10,0.10989010989011,0.32258064516129,31,"GO:0005925","CC","focal adhesion","Small region on the surface of a cell that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments."
"GO:0005901","2",92,91,4,5.3717080219812e-06,0.0890682907124703,6,0.0659340659340659,0.6,10,"GO:0005901","CC","caveola","A membrane raft that forms small pit, depression, or invagination that communicates with the outside of a cell and extends inward, indenting the cytoplasm and the cell membrane. Examples include flask-shaped invaginations of the plasma membrane in adipocytes associated with caveolin proteins, and minute pits or incuppings of the cell membrane formed during pinocytosis.  Caveolae may be pinched off to form free vesicles within the cytoplasm."
"GO:0044853","2",92,91,5,5.3717080219812e-06,0.0890682907124703,6,0.0659340659340659,0.6,10,"GO:0044853","CC","plasma membrane raft","A membrane raft that is part of the plasma membrane."
"GO:0006939","2",92,91,6,6.29638685690067e-06,0.10440039047427,8,0.0879120879120879,0.4,20,"GO:0006939","BP","smooth muscle contraction","A process in which force is generated within smooth muscle tissue, resulting in a change in muscle geometry. Force generation involves a chemo-mechanical energy conversion step that is carried out by the actin/myosin complex activity, which generates force through ATP hydrolysis. Smooth muscle differs from striated muscle in the much higher actin/myosin ratio, the absence of conspicuous sarcomeres and the ability to contract to a much smaller fraction of its resting length."
"GO:0005924","2",92,91,7,7.49047162441783e-06,0.124199510004472,10,0.10989010989011,0.303030303030303,33,"GO:0005924","CC","cell-substrate adherens junction","An adherens junction which connects a cell to the extracellular matrix."
"GO:0030055","2",92,91,8,7.49047162441783e-06,0.124199510004472,10,0.10989010989011,0.303030303030303,33,"GO:0030055","CC","cell-substrate junction","A cell junction that forms a connection between a cell and the extracellular matrix."
"GO:0015872","2",92,91,9,1.02796662465186e-05,0.170447146033525,4,0.043956043956044,1,4,"GO:0015872","BP","dopamine transport","The directed movement of dopamine into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Dopamine is a catecholamine neurotransmitter and a metabolic precursor of noradrenaline and adrenaline."
"GO:0006813","2",92,91,10,1.29890318072582e-05,0.215371136396148,9,0.0989010989010989,0.321428571428571,28,"GO:0006813","BP","potassium ion transport","The directed movement of potassium ions (K+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"GO:1903047","3",88,87,1,3.54966509654654e-65,5.88569969658381e-61,59,0.67816091954023,0.702380952380952,84,"GO:1903047","BP","mitotic cell cycle process","A process that is part of the mitotic cell cycle."
"GO:0022402","3",88,87,2,2.53144635198767e-64,4.19739119623076e-60,64,0.735632183908046,0.587155963302752,109,"GO:0022402","BP","cell cycle process","The cellular process that ensures successive accurate and complete genome replication and chromosome segregation."
"GO:0007049","3",88,87,3,6.92088264401613e-64,1.14755155120431e-59,70,0.804597701149425,0.479452054794521,146,"GO:0007049","BP","cell cycle","The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."
