"","module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"GO:0002376","1",193,188,1,1.13260345220627e-31,1.87796978410322e-27,128,0.680851063829787,0.280701754385965,456,"GO:0002376","BP","immune system process","Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."
"GO:0006955","1",193,188,2,1.87840591746975e-30,3.11458485175659e-26,111,0.590425531914894,0.312676056338028,355,"GO:0006955","BP","immune response","Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."
"GO:0042110","1",193,188,3,2.74600660885975e-28,4.55315355815035e-24,61,0.324468085106383,0.512605042016807,119,"GO:0042110","BP","T cell activation","The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."
"GO:0070489","1",193,188,4,2.74600660885975e-28,4.55315355815035e-24,61,0.324468085106383,0.512605042016807,119,"GO:0070489","BP","T cell aggregation","The adhesion of one T cell to one or more other T cells via adhesion molecules."
"GO:0071593","1",193,188,5,2.74600660885975e-28,4.55315355815035e-24,61,0.324468085106383,0.512605042016807,119,"GO:0071593","BP","lymphocyte aggregation","The adhesion of one lymphocyte to one or more other lymphocytes via adhesion molecules."
"GO:0070486","1",193,188,6,3.09418866158577e-27,5.13047421977537e-23,61,0.324468085106383,0.495934959349593,123,"GO:0070486","BP","leukocyte aggregation","The adhesion of one leukocyte to one or more other leukocytes via adhesion molecules."
"GO:0007159","1",193,188,7,5.67888007190793e-27,9.41615104723053e-23,62,0.329787234042553,0.484375,128,"GO:0007159","BP","leukocyte cell-cell adhesion","The attachment of a leukocyte to another cell via adhesion molecules."
"GO:0045321","1",193,188,8,3.3284285507554e-26,5.51886738000752e-22,73,0.388297872340426,0.407821229050279,179,"GO:0045321","BP","leukocyte activation","A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."
"GO:0002682","1",193,188,9,3.67374083604012e-25,6.09142968023812e-21,92,0.48936170212766,0.325088339222615,283,"GO:0002682","BP","regulation of immune system process","Any process that modulates the frequency, rate, or extent of an immune system process."
"GO:0051249","1",193,188,10,1.6364616419801e-23,2.7134170485672e-19,51,0.271276595744681,0.515151515151515,99,"GO:0051249","BP","regulation of lymphocyte activation","Any process that modulates the frequency, rate or extent of lymphocyte activation."
